fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
2008,502,245,257,8,56,58,47,28,34,25,13,13,20,12,13,5,3,2,2,0,0,4,0,2,3,1,2,4,1,1,1,3,2,3,3,2,2,4,0,3,1,3,3,2,1,3,3,1,4,6,6,9,1,13,2,4,3,1,2,7,4,1,2,4,1,1,1,3,1,3,1,1,3,1,0,0,2,1,0,1,1,3,2,2,0,0,1,0,3,0,0,2,1,0,1,2,18,6,3,1,2,1,2,0,0,2,0,19,2,3,0,2,4,0,1,1,3,2,16,2,3,1,1,4,0,0,1,3,2,8,2,0,2,2,1,3,1,6,8,1,13,9,1,4,3,0,2,6,3,1,2,12,3,1,1,0,3,0,2,1,1,1,8,1,0,0,2,1,0,1,1,3,1,2,2,0,0,1,0,0,0,0,2,1,8,0,1,6,38,6,10,4,1,1,0,0,0,2,0,39,0,0,1,0,0,1,0,0,0,0,31,1,0,1,1,0,0,3,0,0,1,20,0,1,1,1,0,1,5,0,1,0,21,4,1,0,0,1,0,1,1,0,0,13,1,0,0,1,0,1,1,0,0,2,5,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,3,0,0,0,0,12,0,0
2009,340,177,163,4,43,17,25,29,18,16,12,8,6,5,6,8,4,3,6,1,0,3,3,4,4,1,3,0,1,2,0,3,4,1,4,1,0,2,2,1,3,1,1,1,1,1,3,0,3,4,6,4,1,4,4,6,3,3,1,3,3,3,1,0,1,2,2,0,0,3,0,1,1,4,2,0,1,2,3,1,0,0,2,0,0,0,1,1,0,0,0,0,1,0,2,0,21,2,2,2,1,1,3,1,0,1,3,3,4,3,0,1,0,1,0,0,3,4,6,0,4,1,0,2,1,0,3,1,1,14,1,0,0,3,0,3,3,3,4,1,4,3,2,5,3,3,1,1,2,2,1,8,0,0,1,1,0,0,2,0,1,1,5,4,1,0,1,2,3,1,0,0,2,2,0,0,0,1,1,0,0,0,0,1,3,0,2,4,22,3,4,6,3,2,3,0,0,2,0,14,0,1,1,2,0,0,2,0,0,0,19,1,0,0,0,0,1,1,0,0,0,15,0,1,1,0,0,0,1,3,0,0,14,1,2,1,0,0,0,2,1,1,0,8,0,1,1,1,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0
2010,351,188,163,6,32,46,18,20,19,20,13,16,11,5,4,6,3,6,1,2,3,1,1,1,1,1,1,1,3,1,0,1,2,3,2,2,0,1,0,4,4,1,2,0,2,0,2,2,3,5,3,8,3,4,1,1,3,3,1,2,6,4,1,0,2,0,1,3,2,2,1,1,0,1,2,3,0,0,3,2,3,0,0,0,0,0,0,1,2,0,2,0,0,0,2,1,11,4,1,4,0,2,0,1,1,1,1,20,0,1,1,1,0,3,1,0,1,2,8,2,2,2,0,0,0,3,2,1,2,13,0,2,0,1,2,2,3,3,6,3,8,4,1,1,3,3,0,2,3,2,1,11,0,1,0,1,1,1,1,1,1,0,5,1,1,2,0,0,1,1,2,0,0,6,0,0,0,0,1,1,0,2,0,0,4,0,1,5,21,1,3,2,3,4,1,1,2,0,0,26,1,0,0,0,1,0,0,0,0,0,10,1,0,0,0,1,0,1,2,0,0,7,0,0,0,1,0,1,2,0,2,0,11,0,0,0,0,0,1,0,3,2,0,9,0,1,0,0,2,1,1,0,0,0,8,0,1,1,0,0,2,1,1,0,0,10,0,0,0,0,0,1,0,0,0,0,7,0,1
2011,307,174,133,7,24,27,16,20,18,9,14,7,11,13,5,6,4,5,2,0,6,1,1,0,1,3,4,0,1,0,3,1,0,1,2,2,3,0,0,1,3,5,2,1,5,1,3,3,3,0,0,5,3,5,6,2,2,2,2,5,4,3,1,4,1,2,0,1,0,1,1,2,1,0,1,0,1,0,1,0,1,0,2,0,1,2,1,0,0,0,0,0,0,0,0,1,9,6,3,5,2,4,1,0,6,0,1,11,0,1,3,2,0,1,0,2,1,0,2,1,1,2,1,0,0,0,2,4,2,11,1,5,0,3,3,2,0,0,4,1,8,5,3,0,2,1,2,4,3,1,1,7,4,0,2,0,1,0,1,0,1,1,4,0,0,0,1,0,1,0,1,0,2,2,0,1,2,1,0,0,0,0,0,0,8,0,0,6,15,7,2,1,2,1,1,0,0,1,0,16,0,0,0,2,0,0,0,1,0,0,14,0,1,0,2,0,0,1,1,1,0,9,0,0,1,0,0,1,0,0,1,2,10,0,3,2,0,1,0,1,1,2,0,2,0,1,0,0,0,0,0,1,1,0,10,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0
2012,321,174,147,4,14,25,25,20,19,10,13,14,4,6,6,11,6,1,2,0,1,3,2,5,2,1,4,2,3,2,1,1,3,2,0,1,0,0,0,2,0,0,2,2,0,1,1,1,1,2,2,6,2,7,8,8,0,0,2,3,4,5,6,2,3,6,3,2,5,2,1,1,0,1,2,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,2,2,0,3,2,4,0,2,5,4,0,1,0,0,0,1,10,1,1,1,3,2,2,1,1,1,1,7,2,0,0,0,0,0,1,0,0,1,9,1,0,1,1,0,1,1,1,6,2,11,3,7,7,0,0,2,2,4,4,5,5,1,2,6,2,2,5,2,0,0,0,6,1,1,1,0,0,0,0,1,0,1,5,1,1,1,0,1,1,0,0,2,2,2,0,0,2,10,6,4,6,2,1,1,0,1,3,1,15,4,1,0,1,0,1,1,0,0,2,18,0,0,1,0,0,0,1,0,0,1,11,1,0,0,0,1,0,1,1,0,0,8,4,1,1,0,0,0,1,0,1,1,5,1,1,0,1,0,0,0,1,1,0,7,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,3
2013,246,149,97,3,9,9,19,10,18,19,9,7,8,8,0,4,3,2,3,2,0,1,4,4,4,1,2,0,2,2,0,1,1,1,1,1,3,2,0,1,4,2,2,2,1,3,3,2,0,0,3,3,7,3,2,4,4,3,4,2,0,1,1,2,0,3,4,2,3,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,2,0,4,2,0,2,2,0,0,0,0,1,4,4,2,3,0,2,0,2,2,0,1,1,8,1,0,1,1,0,0,1,2,2,2,5,2,0,3,3,2,0,0,2,1,6,9,2,0,4,3,2,3,2,0,1,1,11,2,0,3,4,2,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,1,6,2,0,0,2,1,0,0,0,0,0,4,0,2,3,5,6,0,2,1,2,3,2,0,0,0,5,2,1,1,0,0,0,0,0,0,0,11,0,1,0,2,2,0,0,2,0,0,5,0,1,0,0,0,0,0,1,2,1,9,1,2,0,1,1,1,0,0,0,0,8,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
2014,232,133,99,2,13,19,6,17,17,14,14,9,5,10,5,3,7,2,5,1,4,1,1,1,1,0,0,1,0,3,1,1,0,2,2,0,0,0,1,2,1,4,1,2,1,1,0,2,0,1,1,2,4,2,3,4,2,1,2,2,1,1,1,0,0,2,1,3,1,0,2,3,0,0,0,0,2,1,0,1,0,1,0,0,2,2,0,1,0,0,0,0,0,0,1,0,3,6,2,1,7,2,5,0,2,1,0,10,1,1,0,0,1,0,2,0,1,0,1,2,1,0,0,0,1,2,1,4,0,10,2,1,1,0,2,0,1,1,1,2,4,2,2,4,2,0,2,1,1,1,1,5,0,0,2,1,3,1,0,2,1,0,7,0,0,0,2,1,0,0,0,0,0,4,0,2,1,0,1,0,0,0,0,0,1,0,1,2,10,4,3,2,0,0,0,1,2,0,1,9,0,0,0,0,0,0,1,1,0,0,5,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,2,13,0,1,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,1,0,1,0,5,0,0,1,0,0,0,0,0,0,0,4,0,0
2015,243,131,112,1,19,30,11,9,16,14,13,5,4,1,7,4,1,7,1,2,3,1,0,2,2,1,1,3,0,0,0,0,1,0,4,2,3,2,0,1,0,2,1,1,0,1,0,6,2,0,1,0,1,2,1,6,0,4,3,4,0,1,3,0,2,5,1,3,0,1,3,2,1,0,3,0,1,2,0,1,1,0,0,1,0,1,2,0,0,3,0,0,0,0,0,0,9,0,1,2,0,6,0,2,2,1,0,9,1,2,0,1,3,0,0,0,0,1,7,0,3,2,1,1,0,1,0,1,1,2,1,0,1,0,6,2,0,1,0,1,5,1,1,6,0,4,3,4,0,1,3,4,0,2,4,1,2,0,1,1,0,1,3,0,1,0,1,2,0,1,0,0,0,1,1,0,0,1,0,0,3,0,0,0,2,0,0,1,10,1,6,2,1,1,1,0,1,0,0,21,1,0,1,0,0,0,0,0,0,0,4,0,1,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,2,2,0,10,0,2,0,0,0,0,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,2,0,0
2016,276,131,145,1,37,29,19,21,10,16,9,15,5,1,3,1,5,4,6,0,1,3,2,1,3,0,0,0,0,0,0,0,5,0,2,1,1,0,0,2,1,1,2,1,0,0,0,2,2,2,4,1,1,2,2,3,2,4,3,1,1,1,1,3,4,2,2,3,1,4,1,4,3,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,8,0,0,0,3,3,4,0,1,3,0,6,0,0,0,0,0,0,0,0,0,4,8,0,2,1,1,0,0,1,1,1,2,9,1,0,0,0,2,1,2,3,1,1,3,2,2,3,1,3,2,0,1,1,0,3,0,1,2,0,3,1,4,1,4,2,3,0,1,0,2,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,4,0,2,1,29,1,3,1,2,1,2,0,0,0,2,23,1,3,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,1,0,0,7,0,0,0,1,1,1,1,0,0,1,13,3,3,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,328,166,162,9,37,44,24,20,19,8,12,12,14,6,5,4,5,1,8,4,0,1,1,4,1,2,0,0,1,1,2,2,3,1,0,0,1,2,2,2,1,1,2,1,2,2,0,3,1,1,3,0,1,3,0,5,1,5,2,5,2,0,2,2,4,1,1,3,0,0,0,2,3,0,0,0,1,1,0,2,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,13,4,3,3,5,1,6,2,0,1,1,12,1,0,1,0,0,1,0,1,2,3,13,0,0,0,0,2,2,2,1,1,0,6,1,1,1,0,2,0,1,3,0,1,9,3,0,1,1,5,2,5,1,0,2,2,1,3,1,0,3,0,0,0,1,2,5,0,0,0,1,0,0,0,2,2,0,5,0,1,0,0,1,0,0,0,0,1,8,0,0,8,24,2,2,1,0,0,2,2,0,0,0,32,3,1,1,0,0,0,1,1,0,0,11,1,0,0,1,0,0,0,0,0,2,14,0,1,1,0,1,1,0,0,0,0,10,0,0,4,0,0,0,0,1,0,0,6,1,1,0,1,0,0,0,0,1,1,7,0,0,0,0,1,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0
