CDUID,month,year,date,background_pm25,wildfire_pm25,factor,wildfire_pm25_scaled,total_pm25,SSP
1001,1,2024,2024-01-01,0.3242857143,0.008412975294,1.005844156,0.008462142032,0.3327478563,SSP1_2.6
1001,2,2024,2024-02-01,0.1814285714,0.005873266122,1.005844156,0.005907590405,0.1873361618,SSP1_2.6
1001,3,2024,2024-03-01,0.6671428571,0.02298886569,1.005844156,0.02312321621,0.6902660734,SSP1_2.6
1001,4,2024,2024-04-01,0.4814285714,0.05393956252,1.005844156,0.05425479373,0.5356833652,SSP1_2.6
1001,5,2024,2024-05-01,0.5128571429,0.04168332114,1.005844156,0.04192692497,0.5547840678,SSP1_2.6
1001,6,2024,2024-06-01,0.9742857143,0.1420171329,1.005844156,0.1428471032,1.117132817,SSP1_2.6
1001,7,2024,2024-07-01,0.7557142857,0.2366100295,1.005844156,0.2379928154,0.9937071011,SSP1_2.6
1001,8,2024,2024-08-01,1.128571429,0.1139241325,1.005844156,0.1145899229,1.243161351,SSP1_2.6
1001,9,2024,2024-09-01,0.6071428571,0.2143208516,1.005844156,0.2155733761,0.8227162332,SSP1_2.6
1001,10,2024,2024-10-01,0.5371428571,0.02001893521,1.005844156,0.02013592899,0.5572787861,SSP1_2.6
1001,11,2024,2024-11-01,0.5771428571,0.01333864415,1.005844156,0.01341659727,0.5905594544,SSP1_2.6
1001,12,2024,2024-12-01,0.2142857143,0.005151673795,1.005844156,0.00518178098,0.2194674953,SSP1_2.6
1001,1,2025,2025-01-01,0.3171428571,0.008412975294,1.011688312,0.008511308771,0.3256541659,SSP1_2.6
1001,2,2025,2025-02-01,0.1757142857,0.005873266122,1.011688312,0.005941914687,0.1816562004,SSP1_2.6
1001,3,2025,2025-03-01,0.6585714286,0.02298886569,1.011688312,0.02325756672,0.6818289953,SSP1_2.6
1001,4,2025,2025-04-01,0.4757142857,0.05393956252,1.011688312,0.05457002494,0.5302843107,SSP1_2.6
1001,5,2025,2025-05-01,0.5014285714,0.04168332114,1.011688312,0.04217052879,0.5435991002,SSP1_2.6
1001,6,2025,2025-06-01,0.9571428571,0.1420171329,1.011688312,0.1436770734,1.100819931,SSP1_2.6
1001,7,2025,2025-07-01,0.7428571429,0.2366100295,1.011688312,0.2393756013,0.9822327442,SSP1_2.6
