fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
2008,1404,691,713,41,166,110,99,95,50,60,54,37,39,39,27,17,12,13,15,7,15,10,13,6,7,7,13,10,10,15,8,13,13,8,5,9,8,6,10,10,14,16,7,8,5,18,8,15,6,16,10,9,13,6,9,8,7,7,9,10,12,11,4,8,6,2,4,2,5,3,1,1,3,4,4,2,1,6,3,1,3,1,3,4,2,3,3,5,3,3,1,3,1,0,8,11,59,13,11,4,9,7,11,5,8,6,5,42,3,6,2,8,2,3,11,5,7,10,46,6,3,6,3,5,6,7,8,12,6,43,4,5,14,6,10,4,10,7,7,10,14,3,7,5,6,5,8,8,8,8,1,17,6,4,1,4,1,4,3,0,0,3,20,3,2,2,1,4,2,1,3,1,3,15,3,2,3,2,3,2,2,0,2,1,15,0,7,30,107,26,16,13,3,6,4,2,7,4,8,68,3,1,5,5,8,7,4,3,6,3,53,2,2,3,5,1,4,3,6,4,1,52,4,0,4,2,5,2,6,3,2,3,36,3,2,3,1,2,1,2,4,3,3,43,2,2,1,0,1,1,0,1,1,0,34,1,2,0,0,2,1,0,0,0,0,22,1,0,0,1,2,1,1,1,1,0,24,0,1
2009,1273,646,627,34,122,116,71,58,49,65,50,33,21,14,23,26,9,10,12,13,6,17,13,7,7,9,14,15,8,12,13,13,2,5,6,10,7,7,7,9,11,11,12,11,10,12,25,15,11,8,4,13,13,7,9,12,7,10,8,8,6,6,7,5,8,1,4,4,3,6,4,6,6,3,3,4,4,3,3,7,4,6,5,4,4,6,6,2,1,3,2,3,0,0,4,9,36,5,10,8,6,8,9,8,3,10,7,46,3,6,6,6,12,5,6,8,10,2,25,3,3,4,4,5,6,7,7,5,9,22,8,8,5,15,14,7,5,3,9,5,18,7,7,7,5,9,8,7,3,4,5,27,5,5,1,4,4,2,6,3,5,5,21,2,3,2,2,3,2,5,4,2,3,14,4,3,4,4,1,1,2,1,0,0,6,0,2,25,86,9,13,18,3,2,3,5,3,7,6,70,4,1,3,8,3,3,6,5,3,0,46,2,3,6,3,2,1,2,4,6,3,36,3,2,7,10,1,4,3,1,4,8,31,0,2,5,2,1,0,1,3,2,2,38,0,3,0,0,0,1,0,1,1,1,29,1,0,2,2,0,1,2,0,4,2,19,0,1,2,2,1,0,1,1,3,0,15,0,2
2010,1321,655,666,37,116,113,93,68,72,64,45,35,57,26,20,11,12,8,12,6,11,9,18,12,12,14,11,14,21,8,11,11,7,10,9,5,4,3,10,8,10,8,13,9,13,10,13,15,8,11,9,7,7,8,7,5,6,7,5,8,7,5,10,5,8,8,5,7,6,5,1,4,1,4,5,3,0,4,7,5,1,4,5,2,2,4,2,1,1,0,3,1,2,0,11,9,40,5,6,2,3,4,9,2,4,6,5,49,6,10,12,10,10,16,4,7,7,4,34,5,4,3,2,2,5,4,6,6,11,28,6,8,9,9,9,6,8,8,4,5,32,4,4,4,4,5,3,5,4,3,7,30,4,6,3,5,2,5,4,1,3,1,17,3,5,1,0,3,5,3,1,4,4,17,0,1,2,2,1,0,0,2,1,1,22,0,9,28,76,21,14,9,9,4,3,4,7,3,13,64,6,2,2,1,4,5,4,4,4,3,59,5,5,2,2,1,5,4,4,2,2,40,3,5,1,4,6,2,3,1,3,2,40,4,3,1,2,2,2,3,3,2,3,34,1,2,5,0,5,1,1,0,1,0,28,1,0,2,0,1,2,2,0,0,1,18,2,1,2,0,0,1,0,1,0,1,35,0,2
2011,1144,566,578,20,89,105,102,66,54,39,31,27,26,22,22,16,11,9,4,3,7,7,3,11,9,7,12,8,14,14,6,6,5,2,6,11,6,5,9,11,7,13,8,7,5,4,15,11,12,8,8,16,11,6,9,16,9,7,6,12,8,12,6,12,7,9,6,6,2,1,6,2,4,3,5,1,5,4,3,5,5,4,4,4,3,2,2,4,0,3,2,2,1,0,6,7,36,8,9,7,5,3,2,1,3,3,1,35,6,2,4,7,7,10,8,4,4,1,41,1,4,5,5,3,5,7,7,10,6,20,6,5,3,9,7,9,1,5,11,8,23,3,6,10,8,3,4,9,7,10,4,15,8,6,8,3,3,2,1,3,2,3,13,3,2,1,3,3,2,3,1,2,0,10,2,1,1,1,4,0,3,2,1,1,10,0,5,13,53,14,13,9,6,6,2,2,4,4,2,70,5,7,3,5,1,4,6,2,2,4,61,1,2,6,1,2,4,4,0,3,2,46,1,0,1,6,4,3,7,3,5,3,31,3,3,6,1,4,2,3,1,2,2,24,4,1,1,3,3,0,0,3,0,1,18,0,3,0,2,1,1,2,4,2,4,17,2,2,1,1,0,0,0,0,1,0,16,0,1
2012,1312,646,666,18,81,102,102,77,75,40,38,45,34,35,27,25,13,15,15,10,9,12,7,11,15,8,4,14,5,14,12,5,11,6,10,14,11,11,8,20,16,13,9,5,16,9,6,8,14,13,9,10,9,11,8,5,8,14,8,11,11,13,8,7,7,8,6,5,3,8,1,10,4,4,5,3,3,1,2,4,4,3,1,3,4,6,1,3,0,2,0,3,1,0,7,6,24,9,10,8,5,6,7,6,8,7,3,32,2,7,4,2,10,4,10,7,3,5,50,5,5,8,8,9,4,17,10,12,5,31,3,9,4,5,7,8,6,3,4,7,23,10,5,3,4,8,3,8,10,11,5,14,4,6,4,5,4,3,5,0,8,3,18,4,4,2,2,1,1,1,4,2,1,22,2,3,4,1,2,0,0,0,3,1,11,0,6,12,57,26,17,17,8,9,8,4,1,5,4,70,9,8,4,2,4,1,4,5,2,6,52,1,5,6,3,2,4,3,6,1,4,46,2,7,5,1,1,6,7,6,6,2,52,1,3,2,4,6,5,3,1,2,3,26,3,1,4,1,1,0,3,1,2,1,20,0,1,1,1,0,1,3,0,1,0,23,1,1,2,0,1,0,2,0,0,0,23,0,1
2013,1242,609,633,14,106,82,59,92,60,54,42,36,34,33,22,27,15,6,8,12,6,14,6,11,15,5,12,8,6,13,10,15,4,10,12,7,10,6,6,9,19,15,7,14,10,12,6,8,9,12,11,5,12,6,7,16,4,19,8,10,6,10,5,6,7,7,7,9,6,3,6,4,4,2,6,6,2,1,2,3,3,4,1,5,4,0,5,5,2,1,2,1,1,0,9,5,34,7,10,9,4,2,4,8,5,5,5,29,5,8,3,4,5,5,11,8,7,0,19,7,9,5,9,3,3,6,14,5,5,41,10,6,6,4,6,3,6,10,4,7,19,4,4,6,2,10,6,7,4,7,2,27,4,6,5,6,6,5,2,5,2,3,16,1,5,4,1,1,1,3,1,2,1,14,5,3,0,3,5,2,1,2,1,1,15,0,8,9,72,26,12,18,11,4,4,4,1,9,1,53,6,7,2,8,3,1,2,2,8,4,40,3,3,2,1,3,3,3,5,10,2,51,4,4,6,2,2,6,6,1,1,5,41,2,3,10,2,9,2,3,2,3,3,27,2,1,2,1,3,1,1,1,2,1,26,1,1,2,1,0,1,0,2,2,0,22,0,1,0,2,0,0,0,0,0,0,19,0,1
2014,1334,671,663,20,89,84,84,71,84,64,75,43,29,34,30,18,20,17,8,7,7,7,6,15,11,13,9,8,4,7,10,13,12,11,9,6,7,14,9,7,5,13,9,3,18,23,17,12,4,3,6,7,10,10,12,11,14,10,12,9,6,5,6,5,3,5,13,6,2,6,6,5,4,3,4,7,4,1,3,5,6,2,4,3,3,11,5,4,3,4,2,0,1,0,17,6,32,14,10,5,10,7,3,4,6,4,2,33,12,7,7,7,3,4,4,8,8,10,31,6,4,3,5,9,6,6,2,10,3,24,3,11,16,11,9,3,3,4,4,7,36,5,7,6,8,8,9,7,5,4,4,21,5,1,3,11,1,1,6,4,4,3,26,2,2,7,2,1,1,4,5,1,3,14,3,3,9,5,3,2,4,2,0,0,13,0,14,14,57,20,20,13,10,10,5,3,1,3,4,51,3,4,6,2,5,0,3,2,5,2,53,5,5,3,2,5,3,1,3,3,6,47,0,7,7,6,3,1,0,2,3,3,48,5,5,5,6,2,3,2,1,1,2,43,0,2,2,2,5,1,0,2,1,1,49,1,2,0,2,0,2,1,1,1,1,29,0,0,2,0,1,1,0,0,0,1,16,0,3
2015,1277,654,623,20,99,100,70,83,84,63,47,41,37,16,16,23,13,8,3,9,14,8,14,13,7,5,6,11,6,6,8,7,16,8,12,9,7,11,9,9,4,3,14,9,13,9,10,14,16,6,7,11,11,7,13,7,11,10,6,6,6,7,8,9,3,10,3,5,10,7,10,5,4,6,6,9,3,6,0,3,1,3,4,4,4,4,2,8,6,3,1,4,2,0,6,7,36,9,8,3,9,3,2,2,8,6,8,41,10,6,1,3,6,4,4,6,4,13,23,4,5,5,3,6,5,5,4,3,12,26,5,10,7,6,10,12,5,6,9,10,33,4,10,3,9,4,2,3,5,7,7,27,6,3,9,3,1,5,6,8,4,3,18,2,6,5,1,6,0,2,1,2,3,11,3,3,3,2,8,6,2,0,4,2,17,0,5,13,63,7,8,20,4,5,1,7,6,2,6,59,3,1,4,3,5,2,2,2,3,3,47,4,7,4,4,5,4,4,0,0,2,57,4,3,2,4,4,4,1,1,2,1,51,3,3,4,2,6,4,3,1,0,1,36,3,0,1,0,4,5,1,2,1,1,29,4,0,4,2,0,0,1,0,1,1,30,1,1,1,0,0,0,1,1,0,0,20,0,1
2016,1390,677,713,17,109,118,116,93,90,58,47,49,31,21,14,21,10,13,10,14,14,6,17,9,5,5,5,10,8,8,8,6,6,6,8,11,9,8,9,17,8,10,7,9,10,8,7,15,9,12,10,13,13,7,4,16,13,16,13,5,6,9,14,7,6,7,7,5,5,7,5,5,9,1,8,4,5,5,1,4,5,2,3,6,5,5,4,5,4,3,2,1,3,0,11,7,26,8,8,4,4,4,6,6,6,3,11,52,8,2,5,2,7,3,4,5,5,5,48,3,4,8,7,4,7,11,5,6,4,35,4,6,6,4,12,6,10,3,12,8,35,5,3,9,9,13,11,4,3,6,11,17,2,3,6,3,3,4,5,4,4,7,17,1,6,3,5,3,1,2,4,2,2,18,4,4,3,4,2,3,3,1,0,2,6,0,10,10,83,13,6,17,6,9,4,8,8,3,6,66,1,3,0,3,3,5,4,3,1,1,68,3,4,3,2,4,2,6,3,4,3,58,5,4,2,3,3,3,2,7,1,5,55,2,1,7,4,3,2,1,3,3,3,41,5,3,1,4,2,1,2,1,1,2,30,0,2,1,0,2,0,2,1,0,1,31,2,1,2,0,3,1,0,1,1,1,25,0,1
2017,1353,684,669,14,122,136,102,74,70,49,40,36,33,32,21,12,19,12,9,12,4,6,3,7,7,4,8,9,8,4,8,8,9,3,12,12,6,4,10,15,19,9,9,11,8,6,7,13,8,10,12,5,6,10,14,14,20,6,11,12,10,8,10,5,8,10,9,5,8,10,6,8,2,10,8,6,7,5,3,2,3,3,5,9,7,1,4,3,6,4,4,5,2,0,7,3,51,6,7,4,5,6,4,8,3,4,3,51,4,3,3,5,7,6,4,5,4,8,37,3,10,5,4,2,4,13,13,4,6,32,9,6,2,5,9,6,6,8,2,4,22,7,10,11,15,3,8,10,9,7,9,18,4,5,6,6,4,8,8,4,7,1,11,8,4,2,5,4,3,2,3,3,5,12,7,6,0,2,2,3,3,4,3,2,8,0,6,11,71,26,14,8,14,6,5,4,1,2,0,85,3,4,1,3,2,2,0,3,4,1,65,0,2,7,2,2,6,2,6,5,3,42,2,2,4,2,4,2,4,4,3,2,48,3,4,3,5,3,3,2,1,1,1,31,1,3,4,3,1,0,2,2,1,1,29,2,4,4,2,1,0,0,0,0,0,24,2,1,1,2,1,3,1,0,2,0,25,0,1
