province,projection_scenario,timepoint,sex,age,delta_n,prop_migrants_birth,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
BC,M4,2023-02-01T00:00:00,F,0,28.28154356185678,0.0006987978005999607,0.00014989792605853182,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,1,23.49553297137618,0.0005805421026052227,0.00012453109768729737,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,2,20.873216387746197,0.0004727692649457566,0.00010141292983283818,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,3,4.615709675138078,0.00010454381489568155,7.610870114100541e-05,0.00010113086413304929,0.0005094710053717403
BC,M4,2023-02-01T00:00:00,F,4,47.186763467148694,0.0011659196201987366,0.0003038127810429521,0.00010118768766771158,0.0004938207357069554
BC,M4,2023-02-01T00:00:00,F,5,46.23520857451308,0.001047207347748216,0.00035274741808545286,0.00024134472186294033,0.0011331094411672295
BC,M4,2023-02-01T00:00:00,F,6,33.815347539634104,0.00076590290174845,0.0002734925021870057,0.00020571595663743038,0.0009374622012565739
BC,M4,2023-02-01T00:00:00,F,7,33.19766883154443,0.0007519127478894774,0.0001612915229395911,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,8,12.952327215928563,0.00029336457321480636,0.0001165846176485715,0.00010107867637186993,0.0004509826398501641
BC,M4,2023-02-01T00:00:00,F,9,53.807396185426796,0.00121871410091658,0.00026142428615092854,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,10,41.67364868758159,0.000943890001983685,0.00020247223675183646,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,11,49.72510837431537,0.001126252059039355,0.00024159041102333993,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,12,37.302851891413866,0.0008448933571846319,0.0002403681740910216,0.0001113947241834285,0.00048578210122690265
BC,M4,2023-02-01T00:00:00,F,13,41.90472203892523,0.0009491237128039981,0.00023963910109513054,6.790170973032342e-05,0.00028988910147477367
BC,M4,2023-02-01T00:00:00,F,14,54.29956065802844,0.001229861411978851,0.00026381547686150187,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,15,104.7200839493903,0.002371864316171011,0.000508784574852728,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,16,143.0574861734376,0.003534752496047788,0.000758233737760582,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,17,122.54212145308429,0.0027755257075895135,0.0005953732924353891,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,18,172.48599562083518,0.003906732716620116,0.0008380265813423946,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,19,314.11040557763954,0.007114463952183878,0.0015261115454784523,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,20,183.76481143738192,0.004162192985128507,0.0008928249284563759,0.0,0.0
BC,M4,2023-02-01T00:00:00,F,21,113.1090186927454,0.0025618700363542308,0.0006522255083390308,0.0001934392228291102,0.0006636685423539603
BC,M4,2023-02-01T00:00:00,F,22,47.73988759879512,0.0010812876726523709,0.0007244302199795566,0.0009277660692847636,0.003026911784536155
BC,M4,2023-02-01T00:00:00,F,23,35.46224052078969,0.0008032043108691997,0.0004596821520762812,0.0005413950951101025,0.0017029845733378633
BC,M4,2023-02-01T00:00:00,F,24,47.22151707765988,0.0010695468059984646,0.00022942666377033494,0.0,0.0
