province,projection_scenario,timepoint,sex,age,delta_n,prop_migrants_birth,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
CA,M6,2023-02-01T00:00:00,F,0,227.38226475806368,0.000675176018091788,0.00020003742798833178,0.0,0.0
CA,M6,2023-02-01T00:00:00,F,1,193.97306100061905,0.0005759726207442878,0.0001706459923902732,0.0,0.0
CA,M6,2023-02-01T00:00:00,F,2,209.06003719773798,0.0005690401138959561,0.0001685920674843337,0.0,0.0
CA,M6,2023-02-01T00:00:00,F,3,257.50558729785007,0.000700903963707891,0.00041774339324613085,0.00035440330099573847,0.0014012413713620556
CA,M6,2023-02-01T00:00:00,F,4,263.181859068658,0.0007814773057566226,0.0002609964530823047,4.9705846451697856e-05,0.00019254579019859871
CA,M6,2023-02-01T00:00:00,F,5,239.37627348823116,0.0006515578192540684,0.0002686638933775902,0.0001275748975730804,0.00048389044338711555
CA,M6,2023-02-01T00:00:00,F,6,255.8660232438924,0.0006964412374570516,0.0002697724596708413,0.00010701207273828822,0.0003974531307378837
CA,M6,2023-02-01T00:00:00,F,7,293.132298064942,0.0007978762393488313,0.0002969077835193438,0.00010209072608242356,0.000370737869396538
CA,M6,2023-02-01T00:00:00,F,8,229.4819652795086,0.0006246265207357971,0.00018506090162151296,0.0,0.0
CA,M6,2023-02-01T00:00:00,F,9,275.5378705648254,0.0007499860009139706,0.00022220171722641056,0.0,0.0
CA,M6,2023-02-01T00:00:00,F,10,171.4383664203342,0.00046663776043286365,0.00013825286280611855,0.0,0.0
CA,M6,2023-02-01T00:00:00,F,11,263.340485342429,0.000716785961493618,0.0002123653925987551,0.0,0.0
CA,M6,2023-02-01T00:00:00,F,12,192.37521730305525,0.0005236257346560652,0.00018535114558469216,5.097028423887273e-05,0.00018043262912187383
CA,M6,2023-02-01T00:00:00,F,13,252.15893807446628,0.000686350929451237,0.0002694912508863078,0.00011158086539281052,0.0003879674951984032
CA,M6,2023-02-01T00:00:00,F,14,222.87219242122228,0.0006066353926822413,0.00017973058939772669,0.0,0.0
CA,M6,2023-02-01T00:00:00,F,15,403.3961360899666,0.0010980031683851,0.0003253103247765755,0.0,0.0
CA,M6,2023-02-01T00:00:00,F,16,435.5571845492559,0.0012933188339386867,0.0005016754075615298,0.00019990198292318465,0.000691228551756072
