province,projection_scenario,timepoint,sex,age,delta_n,prop_migrants_birth,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
CA,M1,2023-02-01T00:00:00,F,0,231.1816190187983,0.0006864417366286792,0.00020336455292899538,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,1,193.97306100061905,0.0005759593060104775,0.00017063313683019076,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,2,209.06003719773798,0.0005690269594206024,0.000168579366656013,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,3,257.50558729785007,0.0007008877609417049,0.00041771192268408785,0.00035440330099573847,0.0014012413713620556
CA,M1,2023-02-01T00:00:00,F,4,263.181859068658,0.0007814592403800225,0.0002609767909997858,4.9705846451697856e-05,0.00019254579019859871
CA,M1,2023-02-01T00:00:00,F,5,239.37627348823116,0.0006515427572205394,0.00026864365367096186,0.0001275748975730804,0.00048389044338711555
CA,M1,2023-02-01T00:00:00,F,6,255.8660232438924,0.0006964251378555126,0.0002697521364507334,0.00010701207273828822,0.0003974531307378837
CA,M1,2023-02-01T00:00:00,F,7,293.132298064942,0.0007978577948788026,0.00029688541606847957,0.00010209072608242356,0.000370737869396538
CA,M1,2023-02-01T00:00:00,F,8,229.4819652795086,0.0006246120812719146,0.00018504696011895333,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,9,275.5378705648254,0.0007499686635204834,0.00022218497773264216,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,10,171.4383664203342,0.00046662697318822335,0.0001382424475718697,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,11,263.340485342429,0.0007167693915839857,0.00021234939412128877,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,12,192.37521730305525,0.0005236136300229244,0.0001853371822166984,5.097028423887273e-05,0.00018043262912187383
CA,M1,2023-02-01T00:00:00,F,13,252.15893807446628,0.0006863350631069054,0.0002694709488509718,0.00011158086539281052,0.0003879674951984032
CA,M1,2023-02-01T00:00:00,F,14,222.87219242122228,0.0006066213691184769,0.00017971704945249684,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,15,403.3961360899666,0.0010979777858940172,0.0003252858176295455,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,16,435.5571845492559,0.0012932889363439298,0.000501637614008611,0.00019990198292318465,0.000691228551756072
CA,M1,2023-02-01T00:00:00,F,17,543.6714570544245,0.0014797840863236729,0.0005312718007629393,0.00015668429151404105,0.0005471069571270285
CA,M1,2023-02-01T00:00:00,F,18,954.0264388453579,0.0025967027031071105,0.0007692965857531288,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,19,1515.9628020225864,0.004126200853077158,0.0012224242015097448,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,20,889.7349649847347,0.0024217119091804007,0.0007174539854643219,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,21,471.24363046289363,0.0012826474814744157,0.0003799958797911014,0.0,0.0
CA,M1,2023-02-01T00:00:00,F,22,199.11503617110793,0.0005419583059779286,0.0005800228484588583,0.0007076722096352302,0.0021918872645456332
CA,M1,2023-02-01T00:00:00,F,23,349.517441080352,0.000951328859538604,0.0006024582732555444,0.000540912829964964,0.0016106812520893436
