year,level,age,sex,prob
2002,0,35,M,124.03514713207495
2002,0,36,F,188.72284295484116
2002,0,36,M,133.82760863520724
2002,0,37,F,179.80361766980926
2002,0,37,M,132.24693080792014
2002,0,38,F,191.93864288610322
2002,0,38,M,107.142355578463
2002,0,39,F,189.0005858748596
2002,0,39,M,127.19763216017847
2002,0,40,F,170.58314668191656
2002,0,40,M,121.27102547143207
2002,0,41,F,180.65596028876894
2002,0,41,M,111.6784695462635
2002,0,42,F,167.6668033371131
2002,0,42,M,114.80132763757395
2002,0,43,F,176.71875676940098
2002,0,43,M,106.59713650287263
2002,0,44,F,156.77931653785382
2002,0,44,M,107.4875676997176
2002,0,45,F,169.66823368690163
2002,0,45,M,88.13424575159375
2002,0,46,F,152.66314368528083
2002,0,46,M,91.53484812035371
2002,0,47,F,137.19270511699162
2002,0,47,M,97.73710238446199
2002,0,48,F,157.26681136605634
2002,0,48,M,88.07348001594336
2002,0,49,F,126.0872722706304
2002,0,49,M,87.37580920670301
2002,0,50,F,141.5380815098374
2002,0,50,M,93.65541348675703
2002,0,51,F,135.48339662101552
2002,0,51,M,92.36327652770163
2002,0,52,F,140.7290057386059
2002,0,52,M,105.16559366832611
2002,0,53,F,151.38731210941415
2002,0,53,M,90.67276064713896
2002,0,54,F,130.50887533098987
2002,0,54,M,99.76914964557747
2002,0,55,F,142.08431780969462
2002,0,55,M,113.48496215798595
2002,0,56,F,115.28876883366979
2002,0,56,M,90.52257102984514
2002,0,57,F,103.45387196034343
2002,0,57,M,89.98898089364532
2002,0,58,F,116.51376907563477
2002,0,58,M,91.80914739530908
2002,0,59,F,117.46285877939906
2002,0,59,M,107.92616103273176
2002,0,60,F,107.29342069629266
2002,0,60,M,95.2492851015454
2002,0,61,F,109.99383514762805
2002,0,61,M,90.1784129026318
2002,0,62,F,103.19958141710988
2002,0,62,M,93.64788453041308
2002,0,63,F,89.27869635058325
2002,0,63,M,90.33331198592381
2002,0,64,F,93.37152493428664
2002,0,64,M,69.97327690374343
2002,0,65,F,81.4456946648556
2002,0,65,M,59.23210543793788
2002,0,66,F,76.35317352950022
2002,0,66,M,67.1641972497142
2002,0,67,F,78.95680503226546
2002,0,67,M,71.66235577595542
2002,0,68,F,92.01677639616483
2002,0,68,M,81.81270869152482
2002,0,69,F,81.05605988275815
2002,0,69,M,78.16376061794146
2002,0,70,F,80.70288834413506
2002,0,70,M,74.65192617647867
2002,0,71,F,79.15921938294925
2002,0,71,M,76.37123865621152
2002,0,72,F,88.60513157521673
2002,0,72,M,57.3674267426322
2002,0,73,F,82.76846776553408
2002,0,73,M,61.60943353253681
2002,0,74,F,71.30016453069959
2002,0,74,M,56.126548189883856
2002,0,75,F,80.48471712197687
2002,0,75,M,47.07289170312796
2002,0,76,F,72.14047570882573
2002,0,76,M,50.88139670036297
2002,0,77,F,61.4842993122831
2002,0,77,M,44.61930227073526
2002,0,78,F,71.62353083927445
2002,0,78,M,50.90424985788155
2002,0,79,F,72.75290747050262
2002,0,79,M,54.874348116639815
2002,0,80,F,69.3936496945923
2002,0,80,M,37.71405915428558
2002,0,81,F,71.74996359675012
2002,0,81,M,44.05670828242644
2002,0,82,F,56.481680814985296
2002,0,82,M,34.50515766268249
2002,0,83,F,55.26457916002989
2002,0,83,M,22.202610905678668
2002,0,84,F,44.602550826486485
2002,0,84,M,30.579293961389197
2002,0,85,F,45.57447825099928
2002,0,85,M,24.00240185424119
2002,0,86,F,33.8117224297275
2002,0,86,M,17.541764876932042
2002,0,87,F,30.954279522290268
2002,0,87,M,13.945293515705
