year,age,sex,cost
2001,51,M,1446090.4012536134
2001,52,F,2803115.807227753
2001,52,M,1375994.9281451406
2001,53,F,2557450.226055366
2001,53,M,1580781.4739774375
2001,54,F,2791674.2244137935
2001,54,M,1462387.0314762855
2001,55,F,2322311.5714088893
2001,55,M,1327332.0080055718
2001,56,F,2055240.5240045304
2001,56,M,1277311.4025795853
2001,57,F,2263948.108016255
2001,57,M,1247876.9723836419
2001,58,F,2126564.7577140466
2001,58,M,1444402.312665462
2001,59,F,2119530.8941455036
2001,59,M,1306253.883048189
2001,60,F,2276763.501269895
2001,60,M,1252161.4535464072
2001,61,F,2202513.5622697207
2001,61,M,1208198.9157645288
2001,62,F,1816577.3167363883
2001,62,M,1235130.4533179447
2001,63,F,1736364.4949514656
2001,63,M,1041739.0808909569
2001,64,F,1758321.9109561148
2001,64,M,757178.0661830402
2001,65,F,1606274.7913619303
2001,65,M,846544.9597580822
2001,66,F,1614510.2176008462
2001,66,M,870846.0645892036
2001,67,F,1719383.0137688166
2001,67,M,897111.3915979973
2001,68,F,1634646.1808209054
2001,68,M,949415.1231245118
2001,69,F,1612348.8145374928
2001,69,M,945581.8825574775
2001,70,F,1559200.9287299917
2001,70,M,1012422.792180399
2001,71,F,1764456.7551290628
2001,71,M,697772.2782109688
2001,72,F,1514175.3656879656
2001,72,M,863737.8018386562
2001,73,F,1388749.5717539154
2001,73,M,741819.8910768483
2001,74,F,1584926.5392751358
2001,74,M,588094.9246335678
2001,75,F,1489046.816604775
2001,75,M,657619.7473061916
2001,76,F,1264434.2412782363
2001,76,M,573273.3201571734
2001,77,F,1433838.9600235112
2001,77,M,570556.5116993152
2001,78,F,1607043.1492434691
2001,78,M,710194.0301911789
2001,79,F,1309791.902870575
2001,79,M,553644.4915935723
2001,80,F,1325922.948086302
2001,80,M,556762.1346344185
2001,81,F,1101668.4544423427
2001,81,M,390437.9757105822
2001,82,F,1016425.424465028
2001,82,M,319810.41844537086
2001,83,F,912602.876302021
2001,83,M,360047.43821435986
2001,84,F,799653.9064045972
2001,84,M,244689.27127337366
2001,85,F,671217.0956293634
2001,85,M,231667.16729548818
2001,86,F,668560.4006906368
2001,86,M,169035.85478897687
2001,87,F,517694.20071371144
2001,87,M,132582.40883527053
2001,88,F,515108.545635216
2001,88,M,191480.41535197326
2001,89,F,326462.13290794624
2001,89,M,151480.75059449414
2001,90,F,334348.5733152732
2001,90,M,98943.99378645315
2001,91,F,213200.2816608933
2001,91,M,73736.27703961848
2001,92,F,155420.36500827843
2001,92,M,61631.12993188111
2001,93,F,140269.6739585469
2001,93,M,21724.995476486267
2001,94,F,134732.00277435826
2001,94,M,26896.32993026119
2001,95,F,101597.30172196346
2001,95,M,0.0
2001,96,F,98948.51691144091
2001,96,M,0.0
2001,97,F,22958.25853997853
2001,97,M,4437.846412615818
2001,98,F,17574.003305372436
2001,98,M,0.0
2001,99,F,23251.18756513056
2001,99,M,0.0
2001,100,F,4790.490862621206
2001,100,M,4020.0038589799856
2001,101,F,0.0
2001,101,M,0.0
2001,102,F,0.0
2001,102,M,0.0
2001,103,F,0.0
2001,103,M,0.0
2001,104,F,0.0
2001,104,M,0.0
2001,105,F,0.0
2001,105,M,0.0
2001,106,F,0.0
2001,106,M,0.0
2001,107,F,0.0
2001,107,M,0.0
2001,108,F,0.0
2001,108,M,0.0
2001,109,F,0.0
2001,109,M,0.0
2001,110,F,0.0
2001,110,M,0.0
2002,0,F,0.0
2002,0,M,0.0
2002,1,F,0.0
2002,1,M,0.0
2002,2,F,0.0
2002,2,M,0.0
2002,3,F,2236604.6237945985
2002,3,M,2730293.477348884
2002,4,F,2495409.3536619497
2002,4,M,3595917.998000277
2002,5,F,2754603.7432470047
2002,5,M,4959810.506155524
2002,6,F,3040120.8780566193
2002,6,M,4893657.0362796765
2002,7,F,3193453.1376035507
2002,7,M,4723759.249571008
2002,8,F,3472936.6748634777
2002,8,M,5023136.372196991
2002,9,F,3580316.7468038863
2002,9,M,5187540.52991746
2002,10,F,4173328.9294930683
2002,10,M,6024211.721187434
2002,11,F,4443459.218589006
2002,11,M,6380976.291359927
2002,12,F,4789203.498755034
2002,12,M,6969056.012295698
2002,13,F,4718563.941380024
2002,13,M,7161744.592037028
2002,14,F,4666376.419654457
2002,14,M,6755716.745365821
2002,15,F,4713828.294003667
2002,15,M,6949580.604654673
2002,16,F,5256385.775471409
2002,16,M,6923515.2750737015
2002,17,F,5348134.67161211
2002,17,M,6978906.851663641
2002,18,F,4972871.082554781
2002,18,M,6962253.520715842
2002,19,F,5121192.525779352
2002,19,M,6866807.3991322545
2002,20,F,5370378.780654943
2002,20,M,6352524.863016364
2002,21,F,5424717.2392273275
2002,21,M,5681660.10301627
2002,22,F,5193358.456022781
2002,22,M,5651082.293655824
2002,23,F,4726089.627098338
2002,23,M,5133077.8887266675
2002,24,F,4983111.844884935
2002,24,M,4649114.63351811
2002,25,F,4668162.562244462
2002,25,M,4151310.7345317183
2002,26,F,4299192.94697366
2002,26,M,4147695.6199210905
2002,27,F,3944089.39703774
2002,27,M,3485459.1733209323
2002,28,F,4011011.655874347
2002,28,M,3398348.7202319987
2002,29,F,3646667.948565912
2002,29,M,2899701.4635671037
2002,30,F,3838010.96949047
2002,30,M,2887969.1857143524
2002,31,F,3695196.8602420525
2002,31,M,2745804.947704526
2002,32,F,3737996.6614922783
2002,32,M,2736402.2561510555
2002,33,F,3471637.10323558
2002,33,M,2248620.7700243536
2002,34,F,3519298.7867235513
2002,34,M,2199122.069347118
2002,35,F,3362503.4576688563
2002,35,M,1998772.3606454097
2002,36,F,3683094.2891943916
2002,36,M,2163693.7654227256
2002,37,F,3827963.202363274
2002,37,M,2251064.3942637215
2002,38,F,3855181.6172503284
2002,38,M,2002816.7121113983
2002,39,F,3779603.004162265
2002,39,M,2161871.8902095393
2002,40,F,3436309.2611588733
2002,40,M,1970022.1891392274
2002,41,F,3647049.814241661
2002,41,M,1869959.7828176015
2002,42,F,3252986.3860963574
2002,42,M,1829298.8262896785
2002,43,F,3440525.219635672
2002,43,M,1720063.8154688785
2002,44,F,3291679.294125126
2002,44,M,1699416.4097001427
2002,45,F,3274165.739175542
2002,45,M,1583686.4070506517
2002,46,F,3419577.9338828917
2002,46,M,1552862.4016427193
2002,47,F,3396456.9762133528
2002,47,M,1762352.5122110748
2002,48,F,3309552.2366147544
2002,48,M,1421300.4752072978
2002,49,F,2974803.6426887056
2002,49,M,1352092.8336149007
2002,50,F,3080329.8079813733
2002,50,M,1675353.4325448035
2002,51,F,2993390.591729436
2002,51,M,1440065.0740588133
2002,52,F,2816806.440382839
2002,52,M,1661104.5126364264
2002,53,F,2949215.7842494803
2002,53,M,1514842.7715704744
2002,54,F,2764093.9150421824
2002,54,M,1677388.2591570746
2002,55,F,3151806.8734060703
2002,55,M,1545353.73268586
2002,56,F,2511765.3623041394
2002,56,M,1467610.472770249
2002,57,F,2171399.6559235947
2002,57,M,1406975.729766097
2002,58,F,2492989.044832132
2002,58,M,1437035.5970190202
2002,59,F,2375103.7605250455
2002,59,M,1595754.133332754
2002,60,F,2392021.6292998865
2002,60,M,1404779.2440052305
2002,61,F,2500300.937272587
2002,61,M,1464505.7560783192
2002,62,F,2392595.716849293
2002,62,M,1315161.06448158
2002,63,F,2070297.8846554563
2002,63,M,1343702.2159592917
2002,64,F,1888611.4896893243
2002,64,M,1077375.0910769808
