year,sex,age,fam_history,abx_exposure,n_asthma,n_no_asthma
2001,0,25,1,3,0,66
2001,0,26,0,0,8,1803
2001,0,26,0,1,11,1425
2001,0,26,0,2,0,636
2001,0,26,0,3,3,178
2001,0,26,1,0,4,651
2001,0,26,1,1,11,519
2001,0,26,1,2,2,207
2001,0,26,1,3,0,62
2001,0,27,0,0,6,1715
2001,0,27,0,1,8,1480
2001,0,27,0,2,5,595
2001,0,27,0,3,0,157
2001,0,27,1,0,6,663
2001,0,27,1,1,3,514
2001,0,27,1,2,1,245
2001,0,27,1,3,1,56
2001,0,28,0,0,14,1779
2001,0,28,0,1,11,1419
2001,0,28,0,2,4,624
2001,0,28,0,3,0,156
2001,0,28,1,0,8,633
2001,0,28,1,1,2,553
2001,0,28,1,2,2,248
2001,0,28,1,3,1,64
2001,0,29,0,0,8,1889
2001,0,29,0,1,3,1573
2001,0,29,0,2,3,632
2001,0,29,0,3,1,179
2001,0,29,1,0,8,675
2001,0,29,1,1,4,576
2001,0,29,1,2,1,220
2001,0,29,1,3,1,46
2001,0,30,0,0,5,1919
2001,0,30,0,1,9,1616
2001,0,30,0,2,2,672
2001,0,30,0,3,1,182
2001,0,30,1,0,8,757
2001,0,30,1,1,5,595
2001,0,30,1,2,4,291
2001,0,30,1,3,1,64
2001,0,31,0,0,7,1982
2001,0,31,0,1,6,1623
2001,0,31,0,2,2,656
2001,0,31,0,3,0,211
2001,0,31,1,0,9,733
2001,0,31,1,1,5,597
2001,0,31,1,2,5,269
2001,0,31,1,3,0,62
2001,0,32,0,0,13,2025
2001,0,32,0,1,15,1632
2001,0,32,0,2,8,614
2001,0,32,0,3,1,192
2001,0,32,1,0,8,773
2001,0,32,1,1,5,608
2001,0,32,1,2,2,254
2001,0,32,1,3,2,61
2001,0,33,0,0,11,1942
2001,0,33,0,1,5,1634
2001,0,33,0,2,6,663
2001,0,33,0,3,1,161
2001,0,33,1,0,12,799
2001,0,33,1,1,5,624
2001,0,33,1,2,3,257
2001,0,33,1,3,0,88
2001,0,34,0,0,14,2010
2001,0,34,0,1,4,1642
2001,0,34,0,2,5,686
2001,0,34,0,3,1,168
2001,0,34,1,0,5,746
2001,0,34,1,1,10,653
2001,0,34,1,2,6,282
2001,0,34,1,3,0,76
2001,0,35,0,0,12,2119
2001,0,35,0,1,8,1770
2001,0,35,0,2,5,709
2001,0,35,0,3,1,209
2001,0,35,1,0,5,852
2001,0,35,1,1,9,660
2001,0,35,1,2,3,302
2001,0,35,1,3,0,64
2001,0,36,0,0,17,2324
2001,0,36,0,1,10,1978
2001,0,36,0,2,2,813
2001,0,36,0,3,1,225
2001,0,36,1,0,11,908
2001,0,36,1,1,9,724
2001,0,36,1,2,5,288
2001,0,36,1,3,1,93
2001,0,37,0,0,13,2465
2001,0,37,0,1,11,1947
2001,0,37,0,2,8,774
2001,0,37,0,3,0,246
2001,0,37,1,0,10,944
2001,0,37,1,1,10,771
2001,0,37,1,2,5,326
2001,0,37,1,3,2,92
2001,0,38,0,0,12,2483
2001,0,38,0,1,23,1982
2001,0,38,0,2,1,855
2001,0,38,0,3,1,230
2001,0,38,1,0,12,962
2001,0,38,1,1,9,750
2001,0,38,1,2,2,311
2001,0,38,1,3,1,85
2001,0,39,0,0,11,2500
2001,0,39,0,1,11,1965
2001,0,39,0,2,3,785
2001,0,39,0,3,0,200
2001,0,39,1,0,8,953
2001,0,39,1,1,6,783
2001,0,39,1,2,4,329
2001,0,39,1,3,0,90
2001,0,40,0,0,13,2509
2001,0,40,0,1,11,2011
2001,0,40,0,2,4,837
2001,0,40,0,3,0,226
2001,0,40,1,0,15,954
2001,0,40,1,1,6,745
2001,0,40,1,2,4,294
2001,0,40,1,3,1,85
2001,0,41,0,0,13,2378
2001,0,41,0,1,7,2024
2001,0,41,0,2,5,797
2001,0,41,0,3,0,230
2001,0,41,1,0,14,913
2001,0,41,1,1,12,744
2001,0,41,1,2,4,293
2001,0,41,1,3,2,83
2001,0,42,0,0,11,2355
2001,0,42,0,1,8,2005
2001,0,42,0,2,5,769
2001,0,42,0,3,1,197
2001,0,42,1,0,18,895
2001,0,42,1,1,12,789
2001,0,42,1,2,4,281
2001,0,42,1,3,0,75
2001,0,43,0,0,16,2436
2001,0,43,0,1,13,1878
2001,0,43,0,2,3,775
2001,0,43,0,3,2,205
2001,0,43,1,0,16,906
2001,0,43,1,1,12,758
2001,0,43,1,2,5,337
2001,0,43,1,3,2,106
2001,0,44,0,0,16,2265
2001,0,44,0,1,8,1997
2001,0,44,0,2,7,755
2001,0,44,0,3,1,210
2001,0,44,1,0,11,849
2001,0,44,1,1,9,771
2001,0,44,1,2,2,289
2001,0,44,1,3,0,99
2001,0,45,0,0,13,2287
2001,0,45,0,1,10,1760
2001,0,45,0,2,7,791
2001,0,45,0,3,0,195
2001,0,45,1,0,12,824
2001,0,45,1,1,8,726
2001,0,45,1,2,5,349
2001,0,45,1,3,1,91
2001,0,46,0,0,11,2255
2001,0,46,0,1,9,1888
2001,0,46,0,2,6,727
2001,0,46,0,3,1,186
2001,0,46,1,0,18,891
2001,0,46,1,1,14,709
2001,0,46,1,2,4,291
2001,0,46,1,3,2,71
2001,0,47,0,0,10,2217
2001,0,47,0,1,11,1737
2001,0,47,0,2,7,728
2001,0,47,0,3,2,212
2001,0,47,1,0,15,849
2001,0,47,1,1,4,677
2001,0,47,1,2,7,316
2001,0,47,1,3,2,71
2001,0,48,0,0,9,2137
2001,0,48,0,1,5,1773
2001,0,48,0,2,8,669
2001,0,48,0,3,0,201
2001,0,48,1,0,11,841
2001,0,48,1,1,10,673
2001,0,48,1,2,4,247
2001,0,48,1,3,0,58
2001,0,49,0,0,15,2047
2001,0,49,0,1,12,1584
2001,0,49,0,2,3,674
2001,0,49,0,3,1,189
2001,0,49,1,0,12,760
2001,0,49,1,1,9,655
2001,0,49,1,2,3,277
2001,0,49,1,3,1,75
2001,0,50,0,0,12,2021
2001,0,50,0,1,10,1639
2001,0,50,0,2,2,688
2001,0,50,0,3,0,184
2001,0,50,1,0,7,807
2001,0,50,1,1,2,579
2001,0,50,1,2,3,260
2001,0,50,1,3,1,75
2001,0,51,0,0,12,1959
2001,0,51,0,1,7,1570
2001,0,51,0,2,4,635
2001,0,51,0,3,1,184
2001,0,51,1,0,8,767
2001,0,51,1,1,6,576
2001,0,51,1,2,7,287
2001,0,51,1,3,0,81
2001,0,52,0,0,11,1993
2001,0,52,0,1,10,1528
2001,0,52,0,2,2,663
2001,0,52,0,3,1,174
2001,0,52,1,0,16,747
2001,0,52,1,1,7,584
2001,0,52,1,2,2,275
2001,0,52,1,3,1,76
2001,0,53,0,0,8,1842
2001,0,53,0,1,8,1679
2001,0,53,0,2,3,641
2001,0,53,0,3,1,164
2001,0,53,1,0,8,739
2001,0,53,1,1,6,609
2001,0,53,1,2,2,220
2001,0,53,1,3,1,46
2001,0,54,0,0,10,1951
2001,0,54,0,1,8,1554
2001,0,54,0,2,4,663
2001,0,54,0,3,0,169
2001,0,54,1,0,13,689
2001,0,54,1,1,5,581
2001,0,54,1,2,5,207
2001,0,54,1,3,1,57
2001,0,55,0,0,6,1654
2001,0,55,0,1,10,1328
2001,0,55,0,2,4,525
2001,0,55,0,3,1,146
2001,0,55,1,0,9,648
2001,0,55,1,1,3,530
2001,0,55,1,2,6,213
2001,0,55,1,3,1,59
2001,0,56,0,0,12,1484
2001,0,56,0,1,5,1252
2001,0,56,0,2,2,449
2001,0,56,0,3,2,133
2001,0,56,1,0,8,613
2001,0,56,1,1,7,496
2001,0,56,1,2,3,216
2001,0,56,1,3,1,62
2001,0,57,0,0,7,1467
2001,0,57,0,1,7,1171
2001,0,57,0,2,5,503
2001,0,57,0,3,2,139
2001,0,57,1,0,7,571
2001,0,57,1,1,7,458
2001,0,57,1,2,3,193
2001,0,57,1,3,1,52
2001,0,58,0,0,5,1447
2001,0,58,0,1,6,1169
2001,0,58,0,2,0,482
2001,0,58,0,3,1,121
2001,0,58,1,0,9,531
2001,0,58,1,1,5,421
2001,0,58,1,2,2,171
2001,0,58,1,3,1,58
2001,0,59,0,0,10,1344
2001,0,59,0,1,9,1130
2001,0,59,0,2,2,436
2001,0,59,0,3,1,128
2001,0,59,1,0,6,505
2001,0,59,1,1,4,388
2001,0,59,1,2,1,180
2001,0,59,1,3,2,37
2001,0,60,0,0,8,1301
2001,0,60,0,1,5,1077
2001,0,60,0,2,0,437
2001,0,60,0,3,1,132
2001,0,60,1,0,9,452
2001,0,60,1,1,2,393
2001,0,60,1,2,1,163
2001,0,60,1,3,1,42
2001,0,61,0,0,5,1269
2001,0,61,0,1,9,960
2001,0,61,0,2,2,411
2001,0,61,0,3,0,115
2001,0,61,1,0,6,437
2001,0,61,1,1,4,366
2001,0,61,1,2,4,158
2001,0,61,1,3,0,45
2001,0,62,0,0,9,1215
2001,0,62,0,1,8,990
2001,0,62,0,2,2,384
2001,0,62,0,3,0,111
2001,0,62,1,0,4,427
2001,0,62,1,1,8,364
2001,0,62,1,2,3,150
2001,0,62,1,3,0,61
2001,0,63,0,0,6,1124
2001,0,63,0,1,7,985
2001,0,63,0,2,8,389
2001,0,63,0,3,0,97
2001,0,63,1,0,7,440
2001,0,63,1,1,3,338
2001,0,63,1,2,1,141
2001,0,63,1,3,1,39
2001,0,64,0,0,6,1065
2001,0,64,0,1,6,894
2001,0,64,0,2,3,371
2001,0,64,0,3,1,91
2001,0,64,1,0,5,445
2001,0,64,1,1,4,356
2001,0,64,1,2,4,155
2001,0,64,1,3,1,38
2001,0,65,0,0,5,1114
2001,0,65,0,1,2,899
2001,0,65,0,2,2,345
2001,0,65,0,3,1,100
2001,0,65,1,0,9,433
2001,0,65,1,1,6,362
2001,0,65,1,2,4,144
2001,0,65,1,3,0,43
2001,0,66,0,0,3,1027
2001,0,66,0,1,4,863
2001,0,66,0,2,3,375
2001,0,66,0,3,1,98
2001,0,66,1,0,9,439
2001,0,66,1,1,3,374
2001,0,66,1,2,2,135
2001,0,66,1,3,0,35
2001,0,67,0,0,4,1010
2001,0,67,0,1,7,859
2001,0,67,0,2,1,345
2001,0,67,0,3,0,100
2001,0,67,1,0,5,419
2001,0,67,1,1,3,316
2001,0,67,1,2,1,134
2001,0,67,1,3,2,34
2001,0,68,0,0,5,1086
2001,0,68,0,1,1,899
2001,0,68,0,2,0,368
2001,0,68,0,3,0,90
2001,0,68,1,0,8,390
2001,0,68,1,1,4,335
2001,0,68,1,2,0,133
2001,0,68,1,3,1,35
2001,0,69,0,0,11,1038
2001,0,69,0,1,2,853
2001,0,69,0,2,1,343
2001,0,69,0,3,0,82
2001,0,69,1,0,5,428
2001,0,69,1,1,3,327
2001,0,69,1,2,2,133
2001,0,69,1,3,0,34
2001,0,70,0,0,6,1059
2001,0,70,0,1,4,845
2001,0,70,0,2,2,360
2001,0,70,0,3,0,82
2001,0,70,1,0,3,408
2001,0,70,1,1,6,330
2001,0,70,1,2,4,136
2001,0,70,1,3,0,32
2001,0,71,0,0,9,1065
2001,0,71,0,1,4,807
2001,0,71,0,2,1,314
2001,0,71,0,3,1,89
2001,0,71,1,0,3,410
2001,0,71,1,1,3,278
2001,0,71,1,2,2,121
2001,0,71,1,3,3,29
2001,0,72,0,0,4,973
2001,0,72,0,1,3,844
2001,0,72,0,2,2,318
2001,0,72,0,3,1,90
2001,0,72,1,0,0,411
2001,0,72,1,1,3,320
2001,0,72,1,2,2,113
2001,0,72,1,3,0,32
2001,0,73,0,0,8,989
2001,0,73,0,1,3,778
2001,0,73,0,2,4,312
2001,0,73,0,3,2,102
2001,0,73,1,0,7,378
2001,0,73,1,1,3,342
2001,0,73,1,2,1,120
2001,0,73,1,3,0,25
2001,0,74,0,0,7,906
2001,0,74,0,1,4,780
2001,0,74,0,2,1,305
2001,0,74,0,3,0,90
2001,0,74,1,0,11,366
2001,0,74,1,1,3,312
2001,0,74,1,2,3,142
2001,0,74,1,3,0,38
2001,0,75,0,0,6,965
2001,0,75,0,1,3,725
2001,0,75,0,2,4,309
2001,0,75,0,3,0,77
2001,0,75,1,0,5,350
2001,0,75,1,1,5,306
2001,0,75,1,2,4,119
2001,0,75,1,3,0,37
2001,0,76,0,0,2,896
2001,0,76,0,1,6,692
2001,0,76,0,2,2,295
2001,0,76,0,3,0,106
2001,0,76,1,0,2,352
2001,0,76,1,1,7,275
2001,0,76,1,2,2,116
2001,0,76,1,3,0,39
2001,0,77,0,0,5,862
2001,0,77,0,1,4,724
2001,0,77,0,2,2,303
2001,0,77,0,3,0,87
2001,0,77,1,0,9,295
2001,0,77,1,1,3,287
2001,0,77,1,2,2,109
2001,0,77,1,3,0,29
2001,0,78,0,0,8,853
2001,0,78,0,1,5,679
2001,0,78,0,2,2,261
2001,0,78,0,3,0,77
2001,0,78,1,0,4,271
2001,0,78,1,1,8,263
2001,0,78,1,2,3,104
2001,0,78,1,3,0,28
2001,0,79,0,0,10,798
2001,0,79,0,1,4,665
