year,age,sex,has_family_history
2002,58,F,13
2002,58,M,7
2002,59,F,11
2002,59,M,9
2002,60,F,5
2002,60,M,9
2002,61,F,9
2002,61,M,3
2002,62,F,2
2002,62,M,1
2002,63,F,2
2002,63,M,4
2002,64,F,0
2002,64,M,1
2002,65,F,2
2002,65,M,1
2002,66,F,3
2002,66,M,0
2002,67,F,4
2002,67,M,0
2002,68,F,1
2002,68,M,2
2002,69,F,5
2002,69,M,0
2002,70,F,0
2002,70,M,0
2002,71,F,2
2002,71,M,0
2002,72,F,2
2002,72,M,0
2002,73,F,0
2002,73,M,0
2002,74,F,0
2002,74,M,0
2002,75,F,1
2002,75,M,0
2002,76,F,2
2002,76,M,0
2002,77,F,1
2002,77,M,0
2002,78,F,3
2002,78,M,0
2002,79,F,0
2002,79,M,0
2002,80,F,0
2002,80,M,0
2002,81,F,0
2002,81,M,0
2002,82,F,0
2002,82,M,0
2002,83,F,0
2002,83,M,0
2002,84,F,0
2002,84,M,0
2002,85,F,0
2002,85,M,0
2002,86,F,0
2002,86,M,0
2002,87,F,0
2002,87,M,0
2002,88,F,0
2002,88,M,0
2002,89,F,0
2002,89,M,0
2002,90,F,0
2002,90,M,0
2002,91,F,0
2002,91,M,0
2002,92,F,0
2002,92,M,0
2002,93,F,0
2002,93,M,0
2002,94,F,0
2002,94,M,0
2002,95,F,0
2002,95,M,0
2002,96,F,0
2002,96,M,0
2002,97,F,0
2002,97,M,0
2002,98,F,0
2002,98,M,0
2002,99,F,0
2002,99,M,0
2002,100,F,22
2002,100,M,4
2002,101,F,0
2002,101,M,0
2002,102,F,0
2002,102,M,0
2002,103,F,0
2002,103,M,0
2002,104,F,0
2002,104,M,0
2002,105,F,0
2002,105,M,0
2002,106,F,0
2002,106,M,0
2002,107,F,0
2002,107,M,0
2002,108,F,0
2002,108,M,0
2002,109,F,0
2002,109,M,0
2002,110,F,0
2002,110,M,0
2003,0,F,1385
2003,0,M,1544
2003,1,F,27
2003,1,M,30
2003,2,F,14
2003,2,M,19
2003,3,F,10
2003,3,M,24
2003,4,F,11
2003,4,M,6
2003,5,F,10
2003,5,M,8
2003,6,F,4
2003,6,M,17
2003,7,F,13
2003,7,M,5
2003,8,F,14
2003,8,M,12
2003,9,F,9
2003,9,M,16
2003,10,F,11
2003,10,M,15
2003,11,F,15
2003,11,M,13
2003,12,F,14
2003,12,M,14
2003,13,F,24
2003,13,M,17
2003,14,F,17
2003,14,M,29
2003,15,F,8
2003,15,M,31
2003,16,F,20
2003,16,M,19
2003,17,F,26
2003,17,M,23
2003,18,F,20
2003,18,M,30
2003,19,F,32
2003,19,M,30
2003,20,F,22
2003,20,M,41
2003,21,F,25
2003,21,M,23
2003,22,F,23
2003,22,M,21
2003,23,F,10
2003,23,M,19
2003,24,F,8
2003,24,M,7
2003,25,F,20
2003,25,M,3
2003,26,F,23
2003,26,M,5
2003,27,F,16
2003,27,M,10
2003,28,F,26
2003,28,M,12
2003,29,F,18
2003,29,M,17
2003,30,F,17
2003,30,M,14
2003,31,F,23
2003,31,M,10
2003,32,F,14
2003,32,M,14
2003,33,F,16
2003,33,M,12
2003,34,F,13
2003,34,M,15
2003,35,F,11
2003,35,M,8
2003,36,F,7
2003,36,M,12
2003,37,F,15
2003,37,M,17
2003,38,F,17
2003,38,M,19
2003,39,F,11
2003,39,M,15
2003,40,F,18
2003,40,M,16
2003,41,F,9
2003,41,M,5
2003,42,F,10
2003,42,M,11
2003,43,F,3
2003,43,M,5
2003,44,F,3
2003,44,M,6
2003,45,F,4
2003,45,M,6
2003,46,F,11
2003,46,M,7
2003,47,F,3
2003,47,M,6
2003,48,F,13
2003,48,M,16
2003,49,F,7
2003,49,M,6
2003,50,F,7
2003,50,M,5
2003,51,F,0
2003,51,M,2
2003,52,F,5
2003,52,M,5
2003,53,F,1
2003,53,M,0
2003,54,F,2
2003,54,M,0
2003,55,F,5
2003,55,M,0
2003,56,F,10
2003,56,M,4
2003,57,F,2
2003,57,M,0
2003,58,F,10
2003,58,M,6
2003,59,F,4
2003,59,M,8
2003,60,F,8
2003,60,M,2
2003,61,F,7
2003,61,M,2
2003,62,F,5
2003,62,M,2
2003,63,F,3
2003,63,M,3
2003,64,F,6
2003,64,M,4
2003,65,F,3
2003,65,M,0
2003,66,F,1
2003,66,M,0
2003,67,F,3
2003,67,M,0
2003,68,F,0
2003,68,M,0
2003,69,F,0
2003,69,M,0
2003,70,F,1
2003,70,M,0
2003,71,F,1
2003,71,M,0
2003,72,F,1
2003,72,M,0
2003,73,F,0
2003,73,M,0
2003,74,F,0
2003,74,M,0
2003,75,F,0
2003,75,M,0
2003,76,F,0
2003,76,M,0
2003,77,F,2
2003,77,M,0
2003,78,F,2
2003,78,M,0
2003,79,F,0
2003,79,M,0
2003,80,F,0
2003,80,M,0
2003,81,F,0
2003,81,M,0
2003,82,F,0
2003,82,M,0
2003,83,F,0
2003,83,M,0
2003,84,F,0
2003,84,M,0
2003,85,F,0
2003,85,M,0
2003,86,F,0
2003,86,M,0
2003,87,F,0
2003,87,M,0
2003,88,F,0
2003,88,M,0
2003,89,F,0
2003,89,M,0
2003,90,F,0
2003,90,M,0
2003,91,F,0
2003,91,M,0
2003,92,F,0
2003,92,M,0
2003,93,F,0
2003,93,M,0
2003,94,F,0
2003,94,M,0
2003,95,F,0
2003,95,M,0
2003,96,F,0
2003,96,M,0
2003,97,F,0
2003,97,M,0
2003,98,F,0
2003,98,M,0
2003,99,F,0
2003,99,M,0
2003,100,F,20
2003,100,M,3
2003,101,F,0
2003,101,M,0
2003,102,F,0
2003,102,M,0
2003,103,F,0
2003,103,M,0
2003,104,F,0
2003,104,M,0
2003,105,F,0
2003,105,M,0
2003,106,F,0
2003,106,M,0
2003,107,F,0
2003,107,M,0
2003,108,F,0
2003,108,M,0
2003,109,F,0
2003,109,M,0
2003,110,F,0
2003,110,M,0
2004,0,F,1529
2004,0,M,1539
2004,1,F,38
2004,1,M,35
2004,2,F,15
2004,2,M,15
2004,3,F,13
2004,3,M,11
2004,4,F,9
2004,4,M,21
2004,5,F,9
2004,5,M,14
2004,6,F,5
2004,6,M,11
2004,7,F,5
2004,7,M,12
2004,8,F,12
2004,8,M,8
2004,9,F,16
2004,9,M,16
2004,10,F,18
2004,10,M,9
2004,11,F,24
2004,11,M,15
2004,12,F,24
2004,12,M,18
2004,13,F,11
2004,13,M,25
2004,14,F,20
2004,14,M,27
2004,15,F,25
2004,15,M,23
2004,16,F,18
2004,16,M,23
2004,17,F,22
2004,17,M,16
2004,18,F,16
2004,18,M,22
2004,19,F,32
2004,19,M,36
2004,20,F,23
2004,20,M,33
2004,21,F,24
2004,21,M,17
2004,22,F,17
2004,22,M,15
2004,23,F,15
2004,23,M,14
2004,24,F,22
2004,24,M,3
2004,25,F,19
2004,25,M,2
2004,26,F,27
2004,26,M,1
2004,27,F,17
2004,27,M,3
2004,28,F,25
2004,28,M,6
2004,29,F,23
2004,29,M,7
2004,30,F,24
2004,30,M,16
2004,31,F,17
2004,31,M,14
2004,32,F,12
2004,32,M,12
2004,33,F,18
2004,33,M,19
2004,34,F,21
2004,34,M,12
2004,35,F,18
2004,35,M,13
2004,36,F,18
2004,36,M,13
2004,37,F,21
2004,37,M,17
2004,38,F,10
2004,38,M,13
2004,39,F,18
2004,39,M,20
2004,40,F,25
2004,40,M,24
2004,41,F,18
2004,41,M,14
2004,42,F,7
2004,42,M,6
2004,43,F,8
2004,43,M,12
2004,44,F,4
2004,44,M,3
2004,45,F,3
2004,45,M,5
2004,46,F,4
2004,46,M,4
2004,47,F,5
2004,47,M,4
2004,48,F,4
2004,48,M,10
2004,49,F,2
2004,49,M,6
2004,50,F,4
2004,50,M,6
2004,51,F,3
2004,51,M,4
2004,52,F,1
2004,52,M,6
2004,53,F,2
2004,53,M,2
2004,54,F,2
2004,54,M,5
2004,55,F,0
2004,55,M,1
2004,56,F,0
2004,56,M,0
2004,57,F,7
2004,57,M,9
2004,58,F,1
2004,58,M,0
2004,59,F,6
2004,59,M,4
2004,60,F,7
2004,60,M,3
2004,61,F,7
2004,61,M,5
2004,62,F,4
2004,62,M,2
2004,63,F,8
2004,63,M,6
2004,64,F,1
2004,64,M,2
2004,65,F,2
2004,65,M,2
2004,66,F,3
2004,66,M,2
2004,67,F,1
2004,67,M,0
2004,68,F,2
2004,68,M,1
2004,69,F,4
2004,69,M,1
2004,70,F,1
2004,70,M,0
2004,71,F,2
2004,71,M,0
2004,72,F,0
2004,72,M,0
2004,73,F,0
2004,73,M,0
2004,74,F,0
2004,74,M,0
2004,75,F,0
2004,75,M,0
2004,76,F,0
2004,76,M,0
2004,77,F,0
2004,77,M,0
2004,78,F,0
2004,78,M,0
2004,79,F,1
2004,79,M,0
2004,80,F,1
2004,80,M,0
2004,81,F,0
2004,81,M,0
2004,82,F,0
2004,82,M,0
2004,83,F,0
2004,83,M,0
2004,84,F,0
2004,84,M,0
2004,85,F,0
2004,85,M,0
2004,86,F,0
2004,86,M,0
2004,87,F,0
2004,87,M,0
2004,88,F,0
2004,88,M,0
2004,89,F,0
2004,89,M,0
2004,90,F,0
2004,90,M,0
2004,91,F,0
2004,91,M,0
2004,92,F,0
2004,92,M,0
2004,93,F,0
2004,93,M,0
2004,94,F,0
2004,94,M,0
2004,95,F,0
2004,95,M,0
2004,96,F,0
2004,96,M,0
2004,97,F,0
2004,97,M,0
2004,98,F,0
2004,98,M,0
2004,99,F,0
2004,99,M,0
2004,100,F,14
2004,100,M,3
2004,101,F,0
2004,101,M,0
2004,102,F,0
2004,102,M,0
2004,103,F,0
2004,103,M,0
2004,104,F,0
2004,104,M,0
2004,105,F,0
2004,105,M,0
2004,106,F,0
2004,106,M,0
2004,107,F,0
2004,107,M,0
2004,108,F,0
2004,108,M,0
2004,109,F,0
2004,109,M,0
2004,110,F,0
2004,110,M,0
2005,0,F,1464
2005,0,M,1525
2005,1,F,28
2005,1,M,39
2005,2,F,15
2005,2,M,22
2005,3,F,20
