year,age,sex,n_alive
2002,31,F,6806
2002,31,M,6861
2002,32,F,6862
2002,32,M,6901
2002,33,F,6896
2002,33,M,6804
2002,34,F,6838
2002,34,M,6869
2002,35,F,6911
2002,35,M,7132
2002,36,F,7393
2002,36,M,7488
2002,37,F,8078
2002,37,M,7975
2002,38,F,8335
2002,38,M,8276
2002,39,F,8387
2002,39,M,8451
2002,40,F,8244
2002,40,M,8299
2002,41,F,8339
2002,41,M,8347
2002,42,F,8062
2002,42,M,8430
2002,43,F,8000
2002,43,M,8135
2002,44,F,8027
2002,44,M,7942
2002,45,F,7843
2002,45,M,7838
2002,46,F,7623
2002,46,M,7599
2002,47,F,7596
2002,47,M,7561
2002,48,F,7351
2002,48,M,7270
2002,49,F,7099
2002,49,M,6857
2002,50,F,6767
2002,50,M,6701
2002,51,F,6743
2002,51,M,6494
2002,52,F,6550
2002,52,M,6365
2002,53,F,6507
2002,53,M,6155
2002,54,F,6403
2002,54,M,6270
2002,55,F,6321
2002,55,M,6183
2002,56,F,5503
2002,56,M,5306
2002,57,F,5078
2002,57,M,5035
2002,58,F,4951
2002,58,M,4909
2002,59,F,4793
2002,59,M,4740
2002,60,F,4482
2002,60,M,4368
2002,61,F,4365
2002,61,M,4113
2002,62,F,4078
2002,62,M,3848
2002,63,F,3990
2002,63,M,3702
2002,64,F,3805
2002,64,M,3559
2002,65,F,3670
2002,65,M,3402
2002,66,F,3670
2002,66,M,3373
2002,67,F,3576
2002,67,M,3253
2002,68,F,3424
2002,68,M,3159
2002,69,F,3533
2002,69,M,3086
2002,70,F,3421
2002,70,M,3122
2002,71,F,3408
2002,71,M,3060
2002,72,F,3319
2002,72,M,2894
2002,73,F,3237
2002,73,M,2556
2002,74,F,3151
2002,74,M,2515
2002,75,F,3053
2002,75,M,2275
2002,76,F,2976
2002,76,M,2184
2002,77,F,2806
2002,77,M,2033
2002,78,F,2767
2002,78,M,1814
2002,79,F,2596
2002,79,M,1684
2002,80,F,2454
2002,80,M,1558
2002,81,F,2244
2002,81,M,1367
2002,82,F,2043
2002,82,M,1173
2002,83,F,1703
2002,83,M,902
2002,84,F,1498
2002,84,M,772
2002,85,F,1331
2002,85,M,679
2002,86,F,1243
2002,86,M,573
