year,age,sex,n_antibiotic_exposure
2002,56,F,6
2002,56,M,0
2002,57,F,20
2002,57,M,10
2002,58,F,36
2002,58,M,37
2002,59,F,21
2002,59,M,17
2002,60,F,10
2002,60,M,29
2002,61,F,25
2002,61,M,15
2002,62,F,16
2002,62,M,8
2002,63,F,12
2002,63,M,7
2002,64,F,3
2002,64,M,1
2002,65,F,8
2002,65,M,3
2002,66,F,9
2002,66,M,1
2002,67,F,14
2002,67,M,0
2002,68,F,2
2002,68,M,3
2002,69,F,7
2002,69,M,0
2002,70,F,3
2002,70,M,0
2002,71,F,0
2002,71,M,0
2002,72,F,3
2002,72,M,0
2002,73,F,0
2002,73,M,0
2002,74,F,0
2002,74,M,0
2002,75,F,0
2002,75,M,0
2002,76,F,1
2002,76,M,0
2002,77,F,7
2002,77,M,0
2002,78,F,4
2002,78,M,0
2002,79,F,0
2002,79,M,0
2002,80,F,0
2002,80,M,0
2002,81,F,0
2002,81,M,0
2002,82,F,0
2002,82,M,0
2002,83,F,0
2002,83,M,0
2002,84,F,0
2002,84,M,0
2002,85,F,0
2002,85,M,0
2002,86,F,0
2002,86,M,0
2002,87,F,0
2002,87,M,0
2002,88,F,0
2002,88,M,0
2002,89,F,0
2002,89,M,0
2002,90,F,0
2002,90,M,0
2002,91,F,0
2002,91,M,0
2002,92,F,0
2002,92,M,0
2002,93,F,0
2002,93,M,0
2002,94,F,0
2002,94,M,0
2002,95,F,0
2002,95,M,0
2002,96,F,0
2002,96,M,0
2002,97,F,0
2002,97,M,0
2002,98,F,0
2002,98,M,0
2002,99,F,0
2002,99,M,0
2002,100,F,52
2002,100,M,2
2002,101,F,0
2002,101,M,0
2002,102,F,0
2002,102,M,0
2002,103,F,0
2002,103,M,0
2002,104,F,0
2002,104,M,0
2002,105,F,0
2002,105,M,0
2002,106,F,0
2002,106,M,0
2002,107,F,0
2002,107,M,0
2002,108,F,0
2002,108,M,0
2002,109,F,0
2002,109,M,0
2002,110,F,0
2002,110,M,0
2003,0,F,3354
2003,0,M,4553
2003,1,F,57
2003,1,M,85
2003,2,F,37
2003,2,M,62
2003,3,F,33
2003,3,M,58
2003,4,F,22
2003,4,M,28
2003,5,F,44
2003,5,M,28
2003,6,F,23
2003,6,M,31
2003,7,F,32
2003,7,M,20
2003,8,F,21
2003,8,M,36
2003,9,F,29
2003,9,M,30
2003,10,F,40
2003,10,M,54
2003,11,F,50
2003,11,M,53
2003,12,F,61
2003,12,M,56
2003,13,F,68
2003,13,M,77
2003,14,F,49
2003,14,M,82
2003,15,F,35
2003,15,M,83
2003,16,F,40
2003,16,M,67
2003,17,F,66
2003,17,M,61
2003,18,F,63
2003,18,M,104
2003,19,F,99
2003,19,M,104
2003,20,F,75
2003,20,M,103
2003,21,F,70
2003,21,M,71
2003,22,F,63
2003,22,M,61
2003,23,F,18
2003,23,M,56
