year,age,sex,utility
2002,34,M,5933.085154325526
2002,35,F,6006.47301813969
2002,35,M,6258.862571468056
2002,36,F,6424.2563847670845
2002,36,M,6570.615231088785
2002,37,F,7026.782372693684
2002,37,M,6994.645495602876
2002,38,F,7247.2420845587
2002,38,M,7279.5556504859205
2002,39,F,7296.424241929122
2002,39,M,7421.1507961163015
2002,40,F,7173.959057851444
2002,40,M,7291.700465289676
2002,41,F,7258.896783829262
2002,41,M,7336.561801945057
2002,42,F,7016.670790535925
2002,42,M,7411.268652287069
2002,43,F,6961.540133939142
2002,43,M,7147.110395562798
2002,44,F,6996.348675362684
2002,44,M,6993.344236784996
2002,45,F,6709.790342323301
2002,45,M,6638.086983074011
2002,46,F,6518.489662744396
2002,46,M,6435.268575550466
2002,47,F,6500.156802919303
2002,47,M,6397.38489492879
2002,48,F,6294.971064097963
2002,48,M,6162.3711064441295
2002,49,F,6081.561462350784
2002,49,M,5817.93938476673
2002,50,F,5794.597245808344
2002,50,M,5678.282719824494
2002,51,F,5771.386566561333
2002,51,M,5510.130802623177
2002,52,F,5610.056863284771
2002,52,M,5398.639803710362
2002,53,F,5579.604169320378
2002,53,M,5221.470535923764
2002,54,F,5484.417439423378
2002,54,M,5320.629830004337
2002,55,F,5355.08713676016
2002,55,M,5098.123988753548
2002,56,F,4666.406944397364
2002,56,M,4382.042799981005
2002,57,F,4302.379966760237
2002,57,M,4154.83010112498
2002,58,F,4201.655817496994
2002,58,M,4053.2390420054735
2002,59,F,4063.085064533382
2002,59,M,3920.649647631419
2002,60,F,3799.9490690660855
2002,60,M,3611.67218047615
2002,61,F,3710.232922054558
2002,61,M,3406.4587409608325
2002,62,F,3457.952627774906
2002,62,M,3195.4908237094787
2002,63,F,3393.6918182730533
2002,63,M,3071.6910284991923
2002,64,F,3239.5509129417064
2002,64,M,2968.458944739868
2002,65,F,3169.4941733770647
2002,65,M,2999.7137225893252
2002,66,F,3175.551168337733
2002,66,M,2983.150863193046
2002,67,F,3103.2807384204384
2002,67,M,2869.509688632736
2002,68,F,2972.3008957050015
2002,68,M,2802.45421921044
