year,age,sex,n_deaths
2002,66,F,35
2002,66,M,68
2002,67,F,44
2002,67,M,55
2002,68,F,47
2002,68,M,76
2002,69,F,53
2002,69,M,105
2002,70,F,58
2002,70,M,100
2002,71,F,46
2002,71,M,82
2002,72,F,65
2002,72,M,79
2002,73,F,72
2002,73,M,103
2002,74,F,75
2002,74,M,79
2002,75,F,87
2002,75,M,100
2002,76,F,86
2002,76,M,110
2002,77,F,99
2002,77,M,121
2002,78,F,102
2002,78,M,113
2002,79,F,91
2002,79,M,100
2002,80,F,101
2002,80,M,111
2002,81,F,130
2002,81,M,103
2002,82,F,99
2002,82,M,119
2002,83,F,120
2002,83,M,76
2002,84,F,119
2002,84,M,91
2002,85,F,103
2002,85,M,85
2002,86,F,117
2002,86,M,84
2002,87,F,118
2002,87,M,76
2002,88,F,130
2002,88,M,75
2002,89,F,115
2002,89,M,61
2002,90,F,99
2002,90,M,53
2002,91,F,108
2002,91,M,37
2002,92,F,68
2002,92,M,29
2002,93,F,67
2002,93,M,22
2002,94,F,71
2002,94,M,25
2002,95,F,38
2002,95,M,18
2002,96,F,44
2002,96,M,8
2002,97,F,29
2002,97,M,11
2002,98,F,22
2002,98,M,3
2002,99,F,17
2002,99,M,1
2002,100,F,27
2002,100,M,6
2002,101,F,27
2002,101,M,2
2002,102,F,0
2002,102,M,0
2002,103,F,0
2002,103,M,0
2002,104,F,0
2002,104,M,0
2002,105,F,0
2002,105,M,0
2002,106,F,0
2002,106,M,0
2002,107,F,0
2002,107,M,0
2002,108,F,0
2002,108,M,0
2002,109,F,0
2002,109,M,0
2002,110,F,0
2002,110,M,0
2003,0,F,24
2003,0,M,26
2003,1,F,1
2003,1,M,2
2003,2,F,1
2003,2,M,1
2003,3,F,1
2003,3,M,3
2003,4,F,2
2003,4,M,1
2003,5,F,1
2003,5,M,1
2003,6,F,0
2003,6,M,2
2003,7,F,2
2003,7,M,3
2003,8,F,0
2003,8,M,2
2003,9,F,0
2003,9,M,2
2003,10,F,2
2003,10,M,1
2003,11,F,0
2003,11,M,1
2003,12,F,0
2003,12,M,1
2003,13,F,1
2003,13,M,1
2003,14,F,1
2003,14,M,3
2003,15,F,2
2003,15,M,7
2003,16,F,2
2003,16,M,2
2003,17,F,3
2003,17,M,5
2003,18,F,1
2003,18,M,4
2003,19,F,2
2003,19,M,4
2003,20,F,3
2003,20,M,3
2003,21,F,0
2003,21,M,4
2003,22,F,1
2003,22,M,8
2003,23,F,2
2003,23,M,6
2003,24,F,0
2003,24,M,5
2003,25,F,2
2003,25,M,4
2003,26,F,4
2003,26,M,4
2003,27,F,5
2003,27,M,7
2003,28,F,0
2003,28,M,4
2003,29,F,3
2003,29,M,7
2003,30,F,2
2003,30,M,2
2003,31,F,3
2003,31,M,9
2003,32,F,3
2003,32,M,5
2003,33,F,4
2003,33,M,4
2003,34,F,6
2003,34,M,5
2003,35,F,3
2003,35,M,6
2003,36,F,8
2003,36,M,9
2003,37,F,4
2003,37,M,8
2003,38,F,7
2003,38,M,17
2003,39,F,14
2003,39,M,6
2003,40,F,7
2003,40,M,12
2003,41,F,9
2003,41,M,9
2003,42,F,8
2003,42,M,15
2003,43,F,8
2003,43,M,12
2003,44,F,13
2003,44,M,22
2003,45,F,10
2003,45,M,21
2003,46,F,9
2003,46,M,17
2003,47,F,13
2003,47,M,23
2003,48,F,18
2003,48,M,17
2003,49,F,24
2003,49,M,16
2003,50,F,16
2003,50,M,19
2003,51,F,16
2003,51,M,26
2003,52,F,16
2003,52,M,30
2003,53,F,18
2003,53,M,25
2003,54,F,20
2003,54,M,29
2003,55,F,18
2003,55,M,31
2003,56,F,29
2003,56,M,45
2003,57,F,21
2003,57,M,52
2003,58,F,27
2003,58,M,39
2003,59,F,25
2003,59,M,39
2003,60,F,19
2003,60,M,53
2003,61,F,24
2003,61,M,43
2003,62,F,35
2003,62,M,61
2003,63,F,24
2003,63,M,55
2003,64,F,38
2003,64,M,47
2003,65,F,32
2003,65,M,44
2003,66,F,34
2003,66,M,59
2003,67,F,39
2003,67,M,59
2003,68,F,49
2003,68,M,80
2003,69,F,55
2003,69,M,70
2003,70,F,71
2003,70,M,76
2003,71,F,69
2003,71,M,82
2003,72,F,61
2003,72,M,89
2003,73,F,67
2003,73,M,86
2003,74,F,78
2003,74,M,82
2003,75,F,83
2003,75,M,99
2003,76,F,73
2003,76,M,96
2003,77,F,93
2003,77,M,103
2003,78,F,101
2003,78,M,105
2003,79,F,107
2003,79,M,104
2003,80,F,127
2003,80,M,112
2003,81,F,123
2003,81,M,103
2003,82,F,126
2003,82,M,110
2003,83,F,110
2003,83,M,110
2003,84,F,104
2003,84,M,82
2003,85,F,112
2003,85,M,82
2003,86,F,101
2003,86,M,80
2003,87,F,104
2003,87,M,78
2003,88,F,101
2003,88,M,74
2003,89,F,94
2003,89,M,60
2003,90,F,108
2003,90,M,37
2003,91,F,102
2003,91,M,33
2003,92,F,92
2003,92,M,48
2003,93,F,74
2003,93,M,25
2003,94,F,73
2003,94,M,28
2003,95,F,35
2003,95,M,25
2003,96,F,48
2003,96,M,14
2003,97,F,38
2003,97,M,10
2003,98,F,21
2003,98,M,5
2003,99,F,16
2003,99,M,2
2003,100,F,32
2003,100,M,8
2003,101,F,16
2003,101,M,1
2003,102,F,15
2003,102,M,2
2003,103,F,0
2003,103,M,0
2003,104,F,0
2003,104,M,0
2003,105,F,0
2003,105,M,0
2003,106,F,0
2003,106,M,0
2003,107,F,0
2003,107,M,0
2003,108,F,0
2003,108,M,0
2003,109,F,0
2003,109,M,0
2003,110,F,0
2003,110,M,0
2004,0,F,27
2004,0,M,29
2004,1,F,4
2004,1,M,1
2004,2,F,0
2004,2,M,3
2004,3,F,1
2004,3,M,0
2004,4,F,0
2004,4,M,1
2004,5,F,0
2004,5,M,1
2004,6,F,0
2004,6,M,1
2004,7,F,0
2004,7,M,0
2004,8,F,1
2004,8,M,0
2004,9,F,0
2004,9,M,1
2004,10,F,1
2004,10,M,0
2004,11,F,1
2004,11,M,0
2004,12,F,0
2004,12,M,1
2004,13,F,0
2004,13,M,1
2004,14,F,0
2004,14,M,1
2004,15,F,1
2004,15,M,5
2004,16,F,2
2004,16,M,5
2004,17,F,2
2004,17,M,5
2004,18,F,0
2004,18,M,2
2004,19,F,1
2004,19,M,4
2004,20,F,4
2004,20,M,2
2004,21,F,7
2004,21,M,2
2004,22,F,0
2004,22,M,10
2004,23,F,1
2004,23,M,7
2004,24,F,4
2004,24,M,1
2004,25,F,1
2004,25,M,2
2004,26,F,2
2004,26,M,3
2004,27,F,2
2004,27,M,1
2004,28,F,1
2004,28,M,5
2004,29,F,2
2004,29,M,4
2004,30,F,4
2004,30,M,6
2004,31,F,3
2004,31,M,5
2004,32,F,3
2004,32,M,8
2004,33,F,4
2004,33,M,4
2004,34,F,3
2004,34,M,6
2004,35,F,1
2004,35,M,6
2004,36,F,3
2004,36,M,2
2004,37,F,7
2004,37,M,7
2004,38,F,8
2004,38,M,11
2004,39,F,6
2004,39,M,9
2004,40,F,8
2004,40,M,10
2004,41,F,10
2004,41,M,18
2004,42,F,8
2004,42,M,16
2004,43,F,9
2004,43,M,11
2004,44,F,11
2004,44,M,16
2004,45,F,7
2004,45,M,15
2004,46,F,9
2004,46,M,25
2004,47,F,14
2004,47,M,22
2004,48,F,7
2004,48,M,18
2004,49,F,19
2004,49,M,26
2004,50,F,14
2004,50,M,22
2004,51,F,14
2004,51,M,26
2004,52,F,28
2004,52,M,17
2004,53,F,14
2004,53,M,45
2004,54,F,16
2004,54,M,34
2004,55,F,23
2004,55,M,33
2004,56,F,20
2004,56,M,32
2004,57,F,26
2004,57,M,45
2004,58,F,31
2004,58,M,40
2004,59,F,29
2004,59,M,42
2004,60,F,22
2004,60,M,41
2004,61,F,27
2004,61,M,51
2004,62,F,43
2004,62,M,55
2004,63,F,29
2004,63,M,36
2004,64,F,44
2004,64,M,56
2004,65,F,35
2004,65,M,52
2004,66,F,33
2004,66,M,59
2004,67,F,37
2004,67,M,54
2004,68,F,52
2004,68,M,47
2004,69,F,40
2004,69,M,60
2004,70,F,49
2004,70,M,92
2004,71,F,52
2004,71,M,71
2004,72,F,67
2004,72,M,90
2004,73,F,71
2004,73,M,95
2004,74,F,72
2004,74,M,89
2004,75,F,63
2004,75,M,86
2004,76,F,81
2004,76,M,101
2004,77,F,100
2004,77,M,92
2004,78,F,113
2004,78,M,99
2004,79,F,113
2004,79,M,122
2004,80,F,132
2004,80,M,100
2004,81,F,96
2004,81,M,121
2004,82,F,112
2004,82,M,105
2004,83,F,108
2004,83,M,113
2004,84,F,107
2004,84,M,98
2004,85,F,99
2004,85,M,94
2004,86,F,111
2004,86,M,88
2004,87,F,110
2004,87,M,67
2004,88,F,114
2004,88,M,73
2004,89,F,103
2004,89,M,68
2004,90,F,87
2004,90,M,58
2004,91,F,95
2004,91,M,45
2004,92,F,86
2004,92,M,36
2004,93,F,86
2004,93,M,30
2004,94,F,72
2004,94,M,20
2004,95,F,44
2004,95,M,16
2004,96,F,44
2004,96,M,16
2004,97,F,37
2004,97,M,7
2004,98,F,22
2004,98,M,8
2004,99,F,18
2004,99,M,3
2004,100,F,45
2004,100,M,5
2004,101,F,28
2004,101,M,3
2004,102,F,16
2004,102,M,2
2004,103,F,8
2004,103,M,1
2004,104,F,0
2004,104,M,0
2004,105,F,0
2004,105,M,0
2004,106,F,0
2004,106,M,0
2004,107,F,0
2004,107,M,0
2004,108,F,0
2004,108,M,0
2004,109,F,0
2004,109,M,0
2004,110,F,0
2004,110,M,0
2005,0,F,14
2005,0,M,41
2005,1,F,2
2005,1,M,1
2005,2,F,1
2005,2,M,0
2005,3,F,1
2005,3,M,0
2005,4,F,0
2005,4,M,0
2005,5,F,0
2005,5,M,0
2005,6,F,1
2005,6,M,0
2005,7,F,0
2005,7,M,1
2005,8,F,0
2005,8,M,1
2005,9,F,0
2005,9,M,0
2005,10,F,1
2005,10,M,2
2005,11,F,1
2005,11,M,2
2005,12,F,0
2005,12,M,1
2005,13,F,0
2005,13,M,3
2005,14,F,3
2005,14,M,3
2005,15,F,2
2005,15,M,2
2005,16,F,3
2005,16,M,2
2005,17,F,0
2005,17,M,2
2005,18,F,2
2005,18,M,3
2005,19,F,0
2005,19,M,4
2005,20,F,4
2005,20,M,6
2005,21,F,2
2005,21,M,12
2005,22,F,0
2005,22,M,3
2005,23,F,0
2005,23,M,4
2005,24,F,1
2005,24,M,3
2005,25,F,2
2005,25,M,7
2005,26,F,0
2005,26,M,4
2005,27,F,0
2005,27,M,7
2005,28,F,4
