fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
2008,1624,824,800,88,204,152,86,69,59,58,26,26,15,12,13,22,4,11,4,12,12,8,7,5,9,8,12,14,8,10,8,7,18,8,8,18,14,11,10,13,12,11,11,12,10,13,14,12,22,10,21,9,20,17,16,12,9,9,11,16,12,15,10,11,16,10,7,9,9,13,11,7,8,11,12,7,10,13,1,10,10,10,6,8,8,4,6,6,4,6,5,2,1,0,10,26,71,3,3,7,1,2,1,4,11,5,3,71,4,7,4,10,4,5,5,6,5,13,26,6,4,13,9,7,6,8,8,6,7,18,9,7,11,12,9,14,5,9,7,16,19,11,12,9,6,6,9,10,6,10,9,23,9,11,7,6,7,4,7,9,3,8,11,7,8,5,8,7,1,8,7,8,4,8,4,3,4,5,5,4,5,4,2,1,8,0,8,62,133,9,10,15,3,9,3,8,1,3,4,81,1,2,4,2,10,3,5,2,2,5,60,2,4,5,5,4,4,5,4,5,4,51,3,3,2,2,3,8,5,12,2,4,40,6,4,3,3,3,2,6,6,5,1,35,2,5,3,1,2,5,6,2,4,0,15,4,4,2,2,6,0,2,3,2,2,18,4,5,0,1,1,0,1,1,0,0,7,0,2
2009,1473,788,685,37,125,115,87,66,69,55,30,21,24,15,15,14,9,7,7,18,8,10,6,5,7,6,2,12,13,6,10,7,8,12,8,13,14,12,14,16,8,14,8,15,12,15,9,16,15,11,19,15,18,22,11,19,15,15,10,15,9,11,5,11,21,11,12,9,12,5,17,11,9,5,6,6,6,5,5,11,13,12,10,8,6,11,7,4,6,0,2,2,2,0,18,10,37,5,4,3,5,3,3,8,2,7,6,38,3,4,5,1,8,10,4,5,4,8,33,10,4,7,6,8,10,12,6,9,6,31,9,9,11,6,12,10,10,10,9,14,27,14,9,16,11,12,8,10,7,8,3,19,9,16,10,10,9,9,4,9,10,6,8,3,4,5,4,5,5,7,10,9,6,8,5,4,7,6,0,5,0,2,1,2,8,0,13,27,88,10,11,11,4,4,4,10,6,3,0,77,2,3,1,1,4,3,2,5,3,0,54,2,4,6,8,4,4,4,2,5,2,35,6,3,4,3,4,5,1,9,6,4,42,8,2,3,4,3,2,5,2,3,2,36,2,5,1,2,0,3,1,8,1,3,22,2,2,1,2,0,0,4,3,3,4,13,3,2,4,1,4,1,0,0,1,0,16,0,5
2010,1392,716,676,40,117,98,79,74,66,46,28,23,26,21,18,10,7,11,3,8,8,6,7,11,11,10,12,11,7,8,10,6,9,9,14,11,3,14,20,8,8,17,15,9,19,11,7,17,16,12,23,12,16,11,13,24,15,5,12,5,10,12,9,7,6,12,23,6,6,9,7,12,6,6,6,5,9,5,6,5,9,11,8,7,7,4,7,6,6,2,3,3,1,0,14,8,39,9,9,2,1,5,2,3,3,4,3,33,6,5,4,6,8,4,4,3,4,8,26,8,12,7,1,10,18,4,6,7,10,26,5,10,6,4,12,12,6,15,7,12,28,1,8,19,12,4,5,4,8,7,9,16,6,3,8,18,6,3,7,3,10,5,9,5,4,2,8,3,3,4,7,10,8,6,4,6,3,6,4,6,1,3,3,0,11,0,13,32,78,12,9,8,6,6,1,5,5,2,4,65,5,6,6,6,3,3,4,7,2,1,53,1,2,4,2,4,2,4,2,10,5,48,4,9,5,3,5,4,6,8,5,4,38,10,5,5,3,1,7,1,2,5,0,30,1,3,4,5,0,3,2,4,2,1,19,1,2,3,1,2,3,1,2,1,0,17,3,1,1,1,2,0,1,0,0,1,15,0,1
2011,1338,706,632,35,107,109,75,46,49,32,31,20,21,15,17,11,10,11,20,7,7,10,6,8,15,9,7,12,11,6,4,14,8,12,6,10,5,8,12,15,12,11,16,15,6,13,10,14,10,16,16,19,7,15,14,10,7,21,19,9,9,8,14,12,7,11,15,12,11,11,7,7,10,6,9,7,6,12,22,5,9,7,3,8,6,3,2,4,2,7,5,5,4,0,11,6,47,8,9,2,2,8,5,7,3,4,3,40,5,8,6,2,7,6,5,2,5,4,30,9,5,9,3,5,5,8,9,8,9,19,13,5,10,4,11,5,11,11,15,3,24,6,9,6,6,14,11,4,4,4,8,12,9,5,9,8,6,6,8,6,6,10,11,5,6,5,5,7,14,3,7,6,3,5,4,4,3,1,4,1,5,3,5,3,5,0,9,29,60,7,8,9,8,3,15,0,4,6,3,69,3,7,3,5,5,5,1,2,9,4,45,3,1,1,2,3,7,7,3,3,7,27,2,1,3,6,3,5,5,5,4,4,25,9,5,4,1,7,8,5,5,4,6,20,3,2,2,7,6,5,3,1,1,0,20,1,3,2,1,5,8,2,2,1,0,15,4,2,0,1,0,1,2,2,0,1,16,0,2
2012,1389,709,680,24,115,100,90,72,60,32,32,20,24,9,21,9,11,5,6,10,7,12,7,8,7,9,13,12,12,1,4,5,8,5,6,18,6,7,14,14,13,6,15,12,4,12,15,25,14,18,17,21,11,16,25,18,12,19,22,7,16,12,14,12,5,10,14,11,16,9,11,8,4,7,6,7,11,5,6,8,8,7,4,5,7,6,6,3,8,5,3,3,3,0,12,8,33,5,6,2,7,3,2,9,5,6,3,42,5,4,4,7,9,4,1,1,2,5,30,2,4,12,5,7,5,8,11,5,9,23,9,4,7,11,10,11,10,10,13,8,17,7,16,10,9,15,14,6,11,6,7,12,6,1,8,10,8,9,5,9,6,3,9,7,4,5,8,3,3,7,5,4,3,8,5,5,5,5,3,7,5,3,3,2,8,0,10,16,82,4,15,7,4,2,4,1,2,6,4,58,3,3,5,6,3,8,0,3,3,3,60,3,2,6,1,0,9,6,2,1,6,49,3,0,5,4,15,3,8,7,8,3,43,9,9,8,3,4,8,1,5,6,7,20,6,4,2,4,3,7,4,2,2,1,23,0,2,2,3,2,3,1,3,3,1,12,0,2,1,1,0,1,0,0,0,1,16,0,2
2013,1402,718,684,22,90,106,92,71,40,24,44,26,19,17,10,8,11,6,17,6,8,10,15,10,7,5,8,9,4,13,12,15,10,10,3,13,11,10,16,6,8,17,11,12,12,10,12,17,19,10,13,14,15,12,24,19,19,16,14,11,5,11,19,16,23,13,18,7,14,14,12,8,5,8,10,7,8,5,7,5,8,13,11,4,4,7,13,7,5,6,4,2,3,0,11,5,23,2,4,3,6,4,9,4,7,7,7,37,4,4,3,4,3,3,7,7,8,4,23,7,0,7,7,10,9,4,5,10,7,24,9,6,6,9,15,7,6,9,10,11,17,9,14,11,14,12,9,10,3,10,14,8,9,19,6,16,4,8,7,7,2,3,12,5,6,5,7,3,5,4,7,11,9,14,3,3,6,7,5,4,2,3,1,2,6,0,10,17,67,15,6,5,5,2,8,2,1,3,8,69,6,3,2,4,6,1,6,5,7,6,69,3,3,6,4,0,7,2,3,7,4,47,3,6,4,3,2,12,4,4,4,4,23,3,10,8,5,4,5,1,2,1,5,16,7,4,7,2,3,6,7,5,6,2,32,3,4,2,1,2,2,1,1,2,2,12,1,1,1,6,2,1,4,1,1,1,13,0,1
2014,1544,817,727,16,86,102,104,75,77,62,40,42,37,28,19,16,11,13,8,11,13,10,12,10,20,17,20,14,13,10,14,11,10,7,9,9,13,6,10,13,5,8,14,16,11,8,11,11,11,9,11,14,8,9,22,22,18,9,9,13,15,19,21,22,13,7,16,9,6,19,17,10,8,9,11,5,7,7,2,11,8,5,8,9,5,4,4,7,3,5,9,3,3,0,10,3,31,10,5,10,3,7,4,5,9,7,10,32,6,12,10,11,8,7,8,12,8,4,39,1,2,3,10,4,6,7,4,3,9,23,14,8,3,9,8,7,7,8,10,8,39,5,18,12,10,7,7,8,8,15,16,27,17,10,4,9,5,4,14,16,8,6,15,6,7,2,7,3,2,9,6,4,3,10,5,4,3,4,6,3,3,3,3,2,18,0,9,13,55,18,14,6,8,6,4,6,4,3,2,70,4,8,7,9,6,6,2,2,3,6,65,6,7,6,3,2,4,6,1,5,5,52,2,3,5,2,3,4,2,3,4,0,38,4,4,10,8,2,2,5,7,4,5,35,5,3,3,7,4,2,5,1,2,2,25,3,4,3,0,4,0,2,2,1,5,32,4,1,1,0,1,0,2,6,0,1,19,0,1
2015,1416,801,615,14,74,97,65,73,63,52,36,25,13,23,17,17,5,7,3,4,12,6,8,14,5,9,7,13,10,13,6,11,8,12,7,16,12,14,17,12,16,7,9,14,14,8,11,12,11,17,11,9,14,21,13,27,25,13,14,15,18,13,13,14,14,14,21,13,13,18,15,10,8,8,9,2,12,12,16,7,5,7,5,5,5,6,4,9,5,7,1,4,7,0,15,2,20,9,10,5,1,4,2,3,4,2,6,40,14,4,8,6,10,5,9,2,7,2,27,8,1,8,8,10,11,7,7,5,6,33,11,8,4,3,10,6,12,5,6,13,27,14,7,24,16,4,11,12,14,12,10,20,10,11,14,18,8,7,10,10,9,6,10,8,6,1,9,10,14,4,4,4,4,11,4,4,3,2,4,4,5,1,3,5,8,0,15,12,54,14,7,12,4,3,1,1,8,4,2,57,0,1,1,1,3,5,4,4,4,6,38,4,6,8,4,4,6,5,9,2,3,40,3,6,4,8,2,5,5,6,3,1,36,7,6,3,9,9,3,3,4,1,3,32,4,3,0,3,5,6,8,5,1,2,26,0,3,1,3,2,2,3,1,3,1,14,1,1,3,2,5,1,2,0,1,2,5,0,0
2016,1404,762,642,15,100,92,89,88,55,51,30,18,22,17,25,9,9,9,6,7,4,7,16,23,19,5,11,10,6,16,9,15,6,6,9,3,16,6,10,20,8,14,3,14,6,7,15,8,10,9,27,16,14,12,9,16,19,14,9,12,20,14,12,12,9,11,14,19,15,5,8,10,11,14,10,13,5,3,5,9,9,7,2,7,4,8,4,7,6,6,1,2,10,0,11,5,36,6,13,4,5,5,3,3,3,5,9,31,20,15,1,9,6,3,13,7,9,1,40,3,5,1,7,3,5,7,6,11,2,28,10,5,7,10,6,6,5,19,11,9,15,8,7,13,14,9,4,5,17,10,9,18,10,4,9,12,14,11,4,6,4,8,17,11,9,11,4,3,3,6,6,3,2,5,6,3,6,3,7,4,4,0,2,4,6,0,8,10,64,11,12,5,4,4,3,4,1,2,7,61,3,4,4,2,4,3,3,2,6,5,49,3,4,2,9,3,5,13,2,3,1,60,4,1,0,5,2,4,4,8,5,5,40,4,2,3,5,5,5,7,3,4,3,33,2,5,2,2,5,4,1,2,6,3,13,3,1,2,1,0,2,3,3,4,0,13,1,1,2,1,0,2,2,1,0,6,16,0,3
2017,1502,764,738,16,142,112,93,73,70,45,28,27,15,14,13,15,8,7,7,4,3,6,8,18,10,21,16,7,5,11,15,10,9,8,11,10,3,11,10,12,7,12,11,7,13,19,11,15,10,10,20,13,17,6,14,9,14,16,6,15,15,18,23,10,15,7,9,18,15,18,8,13,12,21,10,7,8,10,9,6,5,10,14,11,8,8,3,7,7,8,8,4,5,0,14,2,44,5,8,4,4,5,5,3,1,3,1,39,12,4,12,6,7,1,4,10,8,6,31,5,9,9,1,4,6,9,3,8,7,32,4,8,15,4,3,6,8,12,6,10,24,4,7,8,10,8,3,6,12,16,15,22,4,8,4,5,13,14,9,4,9,9,10,18,8,5,3,4,3,5,3,8,12,11,6,5,4,3,6,6,6,7,3,4,6,0,10,14,98,9,5,11,4,2,2,1,2,3,7,73,6,6,9,10,0,4,7,5,2,3,62,3,2,1,2,7,4,3,4,4,4,41,3,5,4,7,12,4,2,8,7,7,46,2,7,1,4,8,3,9,3,2,8,23,6,7,3,4,5,1,9,4,4,3,18,3,2,2,5,6,6,1,2,2,2,16,5,3,4,0,1,1,2,1,1,1,9,0,4
