year,age,sex,province,prob
2000,67,F,BC,0.9543194631887052
2000,67,M,BC,0.9291138091893392
2000,68,F,BC,0.9543194631887052
2000,68,M,BC,0.9291138091893392
2000,69,F,BC,0.9543194631887052
2000,69,M,BC,0.9291138091893392
2000,70,F,BC,0.9543194631887052
2000,70,M,BC,0.9291138091893392
2000,71,F,BC,0.9543194631887052
2000,71,M,BC,0.9291138091893392
2000,72,F,BC,0.9543194631887052
2000,72,M,BC,0.9291138091893392
2000,73,F,BC,0.9543194631887052
2000,73,M,BC,0.9291138091893392
2000,74,F,BC,0.9543194631887052
2000,74,M,BC,0.9291138091893392
2000,75,F,BC,0.9543194631887052
2000,75,M,BC,0.9291138091893392
2000,76,F,BC,0.9543194631887052
2000,76,M,BC,0.9291138091893392
2000,77,F,BC,0.9543194631887052
2000,77,M,BC,0.9291138091893392
2000,78,F,BC,0.9543194631887052
2000,78,M,BC,0.9291138091893392
2000,79,F,BC,0.9543194631887052
2000,79,M,BC,0.9291138091893392
2000,80,F,BC,0.9543194631887052
2000,80,M,BC,0.9291138091893392
2000,81,F,BC,0.9543194631887052
2000,81,M,BC,0.9291138091893392
2000,82,F,BC,0.9543194631887052
2000,82,M,BC,0.9291138091893392
2000,83,F,BC,0.9543194631887052
2000,83,M,BC,0.9291138091893392
2000,84,F,BC,0.9543194631887052
2000,84,M,BC,0.9291138091893392
2000,85,F,BC,0.9543194631887052
2000,85,M,BC,0.9291138091893392
2000,86,F,BC,0.9543194631887052
2000,86,M,BC,0.9291138091893392
2000,87,F,BC,0.9543194631887052
2000,87,M,BC,0.9291138091893392
2000,88,F,BC,0.9543194631887052
2000,88,M,BC,0.9291138091893392
2000,89,F,BC,0.9543194631887052
2000,89,M,BC,0.9291138091893392
2000,90,F,BC,0.9543194631887052
2000,90,M,BC,0.9291138091893392
2000,91,F,BC,0.9543194631887052
2000,91,M,BC,0.9291138091893392
2000,92,F,BC,0.9543194631887052
2000,92,M,BC,0.9291138091893392
2000,93,F,BC,0.9543194631887052
2000,93,M,BC,0.9291138091893392
2000,94,F,BC,0.9543194631887052
2000,94,M,BC,0.9291138091893392
2000,95,F,BC,0.9543194631887052
2000,95,M,BC,0.9291138091893392
2000,96,F,BC,0.9543194631887052
