fiscal_year,N,F,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90+,F_0,F_1,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_2,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_3,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_4,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_5,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_6,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_7,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_8,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_9,F_90,F_90+,M_0,M_1,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_2,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_3,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_4,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_5,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_6,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_7,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_8,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_9,M_90,M_90+
2008,5711,2908,2803,300,798,547,391,319,227,188,148,86,88,76,89,47,45,33,25,32,38,21,28,18,16,28,29,28,26,27,24,25,34,21,31,41,36,26,36,37,31,38,39,28,47,36,52,48,60,55,48,33,44,37,42,36,42,40,40,32,40,22,38,47,34,27,35,27,22,28,22,17,21,15,20,28,25,32,19,21,28,25,34,28,17,31,36,18,21,22,11,16,8,0,39,90,269,28,35,22,23,14,14,18,21,13,21,197,11,12,18,19,21,16,16,14,14,26,135,8,20,30,24,21,30,25,20,31,31,117,20,33,28,32,37,42,37,32,24,31,84,27,31,27,29,35,31,21,33,17,30,84,35,22,21,28,21,21,24,18,11,15,50,10,14,26,22,22,13,20,21,22,29,32,21,12,19,28,15,14,17,5,12,7,40,0,32,210,529,48,54,25,22,19,11,14,17,8,7,350,7,4,10,10,7,10,11,10,11,8,256,13,11,11,12,5,6,12,11,7,8,202,8,14,8,20,11,18,18,16,9,13,143,10,11,9,13,5,9,11,7,5,8,104,12,12,6,7,6,1,4,4,6,6,98,5,6,2,3,10,6,1,7,3,5,54,7,5,12,8,3,7,5,6,4,1,48,0,7
2009,5572,2874,2698,223,556,469,373,350,232,217,147,147,99,107,79,59,65,31,42,30,41,22,22,22,30,24,24,23,31,46,20,27,37,33,30,40,36,30,31,48,44,33,36,37,28,32,44,59,37,61,46,34,48,46,33,46,41,47,41,34,45,33,40,41,44,30,29,23,28,29,28,26,25,17,33,26,20,25,27,12,20,21,32,25,19,24,33,26,28,18,18,11,12,0,34,61,180,35,29,19,27,17,21,14,25,13,11,157,13,21,13,12,14,23,24,11,19,30,147,21,21,27,30,18,23,35,32,26,28,116,27,19,25,34,43,28,42,34,25,34,82,30,24,34,32,36,31,25,35,26,32,89,32,34,20,21,20,22,23,20,21,23,55,16,22,17,17,21,19,10,16,16,27,62,21,15,18,23,23,25,16,14,11,11,36,0,27,162,376,72,50,40,38,14,21,16,16,9,11,312,9,9,11,12,9,8,22,9,8,7,226,12,9,13,6,12,8,13,12,7,8,234,10,9,7,10,16,9,19,12,9,14,150,16,9,12,9,11,10,9,10,7,8,128,9,10,10,8,3,6,6,8,5,2,92,1,11,9,3,4,8,2,4,5,5,85,4,4,6,10,3,3,2,4,0,1,63,0,7
2010,5281,2649,2632,197,577,499,386,330,262,188,148,100,89,107,77,50,44,38,47,32,48,19,28,30,25,38,21,20,29,23,31,23,17,29,28,30,33,42,33,36,33,43,33,39,31,26,30,40,33,43,49,47,28,47,33,39,25,28,30,38,24,33,21,32,25,32,30,17,19,18,24,20,19,28,29,31,19,31,25,26,21,36,21,19,13,25,22,27,19,19,17,17,11,0,42,65,179,42,31,11,16,18,28,16,25,10,18,174,16,17,26,10,13,16,11,20,19,11,151,21,23,22,16,30,24,25,26,34,19,146,23,17,19,19,28,23,36,30,30,19,89,38,26,31,19,15,22,32,18,23,16,59,29,19,22,23,11,15,13,17,17,16,52,21,22,22,14,22,17,21,13,26,19,33,12,13,23,18,21,17,17,14,13,11,32,0,33,132,398,65,46,39,28,20,19,16,23,9,10,325,14,8,12,11,7,13,12,11,4,6,235,8,5,8,17,12,9,11,7,9,14,184,16,14,7,11,12,10,7,19,17,9,173,9,7,8,6,13,8,6,6,10,5,129,3,6,10,7,6,4,5,7,3,3,96,7,7,9,5,9,8,5,8,10,2,67,7,0,2,4,6,2,2,3,4,0,57,0,9
2011,5082,2606,2476,134,481,461,397,278,245,165,137,120,99,80,97,49,41,47,21,33,31,16,20,30,34,34,32,31,22,29,21,26,27,25,29,36,28,34,39,28,32,34,26,29,27,33,41,36,42,54,46,38,46,28,38,37,40,33,34,30,43,47,37,31,31,30,40,30,27,22,22,26,29,34,21,20,32,35,20,25,25,21,14,21,15,25,19,23,25,19,20,21,18,0,33,33,164,23,48,20,17,23,16,17,16,8,11,154,15,23,21,23,21,11,25,13,6,20,135,16,20,31,17,20,24,17,17,25,21,101,24,14,20,28,25,28,41,32,22,37,98,22,28,27,32,27,24,25,31,28,24,50,21,23,27,33,22,24,18,19,24,18,50,29,18,14,25,22,15,16,16,13,9,51,18,12,21,17,21,17,15,19,17,12,41,0,30,101,317,57,49,29,24,24,5,16,15,8,9,307,15,11,13,9,10,11,4,8,20,7,262,9,9,5,11,14,15,11,15,9,5,177,5,13,13,13,11,14,13,14,16,9,147,6,10,10,8,6,10,5,12,19,13,115,10,8,3,7,8,3,4,3,2,11,87,5,3,6,7,13,5,9,9,8,5,69,3,3,4,2,2,8,4,1,4,6,58,0,3
2012,4884,2596,2288,117,520,421,322,280,195,136,142,102,69,67,69,64,37,32,28,28,30,24,21,22,37,30,30,37,23,28,33,30,15,30,28,40,29,47,38,38,28,35,31,25,31,33,29,33,35,33,42,46,35,41,43,44,38,27,40,33,45,40,26,40,28,43,20,27,23,17,33,32,20,27,23,28,27,32,15,27,39,32,28,29,24,25,20,24,19,23,24,16,16,0,51,33,161,23,29,25,16,11,14,16,14,15,16,163,8,23,24,20,17,15,23,24,16,8,109,17,17,30,18,29,21,26,21,21,28,110,20,22,25,24,29,27,22,28,32,25,82,27,32,33,24,26,32,21,34,29,17,58,27,21,35,13,17,13,14,28,23,16,58,18,21,24,20,21,14,21,29,26,19,39,21,18,22,17,18,17,17,19,15,16,24,0,45,84,359,44,40,39,21,21,14,12,16,9,5,258,14,14,6,10,20,8,5,9,14,7,213,13,11,10,11,18,17,12,7,14,3,170,5,9,8,5,4,8,11,14,14,10,113,14,11,11,14,1,8,12,11,11,9,78,13,7,8,7,10,10,3,5,9,4,84,9,2,4,7,11,1,6,10,6,9,63,8,6,3,3,6,2,6,5,1,0,45,0,6
2013,4819,2523,2296,121,434,424,316,301,232,138,104,99,76,78,66,48,42,25,21,22,31,20,20,35,30,19,30,19,26,27,21,23,29,29,34,27,42,35,33,33,28,30,29,47,39,35,29,26,36,40,35,44,40,48,38,41,25,31,36,24,41,25,28,40,43,33,28,43,32,21,20,29,32,19,22,34,23,31,43,30,38,39,29,22,25,25,12,30,25,34,23,15,9,0,65,27,155,33,35,20,12,9,10,12,17,10,8,155,18,18,12,21,12,20,18,12,13,17,103,19,21,20,33,20,24,18,17,23,15,111,29,29,23,16,14,21,30,22,31,31,80,32,28,32,14,25,28,20,26,19,23,56,25,31,27,21,27,26,18,13,21,23,44,13,16,26,16,21,34,22,29,34,22,41,19,17,18,10,29,19,26,21,14,7,23,0,53,94,279,45,31,28,30,16,11,10,14,10,12,269,17,12,7,9,7,6,9,9,10,12,213,10,13,7,9,15,9,15,11,7,14,190,18,10,12,13,12,15,10,13,13,9,152,16,10,9,11,6,8,4,15,6,5,82,15,12,6,7,16,6,3,7,8,9,60,6,6,8,7,10,9,8,9,5,7,58,3,8,7,2,1,6,8,2,1,2,53,0,12
2014,5556,2924,2632,103,450,425,403,359,310,246,188,157,130,90,79,64,41,34,35,47,35,31,22,31,19,19,27,32,27,30,27,27,34,28,39,29,40,35,40,30,36,31,34,34,38,30,37,27,42,33,36,49,31,37,49,48,49,35,34,42,41,27,40,49,39,27,36,18,36,42,23,19,32,30,28,21,27,30,36,38,27,33,35,30,37,28,31,18,27,24,18,26,20,0,48,26,147,38,30,27,20,16,12,25,22,20,14,139,18,10,8,20,26,14,16,19,14,17,148,19,26,21,32,25,27,23,23,23,27,131,28,31,26,31,20,36,28,24,39,27,109,26,34,36,34,26,24,31,32,21,27,94,38,25,19,23,16,28,31,15,15,22,77,22,18,14,23,24,30,30,23,31,31,78,24,25,19,26,14,24,19,16,19,17,46,0,35,77,303,52,49,37,21,18,23,22,13,11,8,286,13,9,11,7,6,13,14,8,13,17,255,9,13,8,8,10,13,7,13,8,7,228,6,7,4,6,7,6,5,12,10,4,201,11,15,12,15,9,10,11,9,6,13,152,11,14,8,13,2,8,11,8,4,10,111,8,10,7,4,6,6,8,4,2,4,79,6,12,9,5,4,3,5,2,7,3,84,0,13
2015,4722,2532,2190,92,387,391,322,267,218,179,118,102,97,64,48,49,40,28,32,30,35,28,20,24,30,22,35,23,20,17,26,26,28,23,25,31,25,43,30,27,25,20,30,27,24,39,27,22,34,28,30,32,47,54,48,48,48,34,29,34,44,46,32,31,32,32,21,37,35,31,36,28,29,22,23,28,21,39,34,25,30,27,39,33,32,32,29,23,27,19,23,17,20,0,63,27,130,27,17,20,22,12,20,12,22,14,13,126,17,20,11,12,14,14,9,16,15,18,97,12,17,21,18,31,21,22,18,17,21,102,18,18,31,18,18,24,24,26,21,31,83,46,41,38,39,26,23,25,29,34,25,69,24,25,24,9,31,27,22,29,20,22,35,21,19,21,9,29,25,20,24,23,24,41,28,23,20,21,21,22,15,19,13,15,40,0,59,65,257,37,31,29,18,16,12,18,13,14,7,265,7,10,11,23,9,6,8,10,11,10,225,11,8,10,7,12,9,5,7,3,9,165,9,6,8,9,4,10,4,4,11,16,135,8,7,10,9,8,6,9,15,12,7,110,7,7,8,12,6,8,9,7,8,7,83,1,4,7,12,10,9,5,6,4,15,61,5,9,12,8,2,5,4,4,4,5,57,0,4
2016,4844,2556,2288,99,492,413,353,293,203,125,112,116,73,83,76,29,44,26,28,41,27,17,18,23,30,41,28,26,27,25,31,26,35,30,30,21,15,11,28,29,31,21,21,26,23,35,41,28,27,42,32,32,26,34,69,45,45,37,47,43,30,36,43,36,35,36,27,20,32,37,22,32,19,32,27,28,20,28,35,37,22,18,36,31,34,30,27,22,23,23,16,18,26,0,77,30,165,42,36,15,21,12,17,25,12,8,12,156,11,20,27,18,13,21,16,19,19,23,130,16,16,13,9,11,20,20,26,14,13,96,19,18,21,29,18,17,30,23,24,20,79,23,47,38,33,24,27,37,22,23,33,43,22,21,31,22,14,26,25,16,19,15,37,18,18,18,18,20,27,29,17,14,28,42,25,31,25,22,16,20,12,12,14,21,24,0,67,69,327,41,40,14,23,14,11,16,15,9,6,257,12,10,14,10,13,6,9,12,7,12,223,14,14,8,6,0,8,9,5,7,8,197,7,5,14,12,10,10,12,9,8,6,124,11,22,7,12,13,20,6,8,13,10,82,14,14,5,5,6,6,12,6,13,4,75,14,9,10,2,8,8,8,5,4,8,74,6,3,5,5,6,3,11,4,4,5,49,0,10
2017,4973,2655,2318,96,565,444,361,242,201,142,108,118,88,72,53,62,31,33,34,45,31,29,25,17,34,35,31,33,20,18,23,47,28,24,21,30,20,20,14,27,34,31,32,27,31,22,36,29,26,29,47,35,27,30,34,58,33,55,39,34,27,37,26,32,41,36,26,30,27,41,20,28,30,37,27,28,28,22,34,44,30,29,25,39,28,39,29,31,30,19,18,22,14,0,88,26,211,25,24,23,11,14,20,25,16,20,20,158,13,21,20,22,19,9,13,19,23,20,157,13,16,19,10,14,9,21,26,24,22,73,20,24,16,26,19,13,22,36,23,21,77,20,22,45,26,40,30,22,19,27,20,58,25,35,24,21,22,21,30,17,22,23,27,29,19,23,18,18,18,31,24,21,19,58,28,17,31,22,24,23,18,15,19,13,30,0,68,70,354,47,29,39,20,19,14,20,15,9,5,286,4,13,15,9,14,11,5,4,24,8,204,11,5,11,10,6,5,6,8,7,10,169,7,7,6,10,10,13,7,11,12,6,124,10,12,13,7,15,9,12,8,10,6,84,7,6,12,5,8,6,11,3,6,7,81,8,8,5,10,4,16,13,6,8,6,60,11,11,8,7,7,7,1,3,3,1,58,0,20
