province,projection_scenario,timepoint,N,prop_male
BC,FA,2022-01-01T00:00:00Z,42300,0.5130023640661938
BC,FA,2023-01-01T00:00:00Z,42100,0.5130641330166271
BC,FA,2024-01-01T00:00:00Z,42100,0.5130641330166271
BC,FA,2025-01-01T00:00:00Z,42000,0.5142857142857142
BC,FA,2026-01-01T00:00:00Z,42000,0.5119047619047619
BC,FA,2027-01-01T00:00:00Z,41900,0.513126491646778
BC,FA,2028-01-01T00:00:00Z,41800,0.5119617224880383
BC,FA,2029-01-01T00:00:00Z,41600,0.5120192307692307
BC,FA,2030-01-01T00:00:00Z,41400,0.5120772946859904
BC,FA,2031-01-01T00:00:00Z,41100,0.51338199513382
BC,FA,2032-01-01T00:00:00Z,40900,0.5134474327628362
BC,FA,2033-01-01T00:00:00Z,40700,0.5135135135135135
BC,FA,2034-01-01T00:00:00Z,40600,0.5123152709359606
BC,FA,2035-01-01T00:00:00Z,40600,0.5123152709359606
BC,FA,2036-01-01T00:00:00Z,40600,0.5123152709359606
BC,FA,2037-01-01T00:00:00Z,40800,0.5122549019607843
BC,FA,2038-01-01T00:00:00Z,41000,0.5121951219512195
BC,FA,2039-01-01T00:00:00Z,41400,0.5120772946859904
BC,FA,2040-01-01T00:00:00Z,41800,0.5119617224880383
BC,FA,2041-01-01T00:00:00Z,42300,0.5130023640661938
BC,FA,2042-01-01T00:00:00Z,42800,0.5116822429906542
BC,FA,2043-01-01T00:00:00Z,43300,0.5127020785219399
BC,HG,2022-01-01T00:00:00Z,46400,0.5129310344827587
BC,HG,2023-01-01T00:00:00Z,47900,0.5135699373695198
BC,HG,2024-01-01T00:00:00Z,49300,0.513184584178499
BC,HG,2025-01-01T00:00:00Z,50700,0.5128205128205128
BC,HG,2026-01-01T00:00:00Z,51900,0.51252408477842
BC,HG,2027-01-01T00:00:00Z,53100,0.512241054613936
BC,HG,2028-01-01T00:00:00Z,54100,0.512014787430684
BC,HG,2029-01-01T00:00:00Z,55000,0.5127272727272727
BC,HG,2030-01-01T00:00:00Z,55900,0.5116279069767442
BC,HG,2031-01-01T00:00:00Z,56700,0.5114638447971781
BC,HG,2032-01-01T00:00:00Z,57400,0.5121951219512195
BC,HG,2033-01-01T00:00:00Z,58200,0.5120274914089347
BC,HG,2034-01-01T00:00:00Z,59100,0.5126903553299492
BC,HG,2035-01-01T00:00:00Z,60100,0.5124792013311148
BC,HG,2036-01-01T00:00:00Z,61100,0.5122749590834698
BC,HG,2037-01-01T00:00:00Z,62300,0.5136436597110754
BC,HG,2038-01-01T00:00:00Z,63700,0.5117739403453689
BC,HG,2039-01-01T00:00:00Z,65100,0.5130568356374808
BC,HG,2040-01-01T00:00:00Z,66700,0.512743628185907
BC,HG,2041-01-01T00:00:00Z,68300,0.5124450951683748
BC,HG,2042-01-01T00:00:00Z,70000,0.5128571428571429
BC,HG,2043-01-01T00:00:00Z,71800,0.5125348189415042
BC,LG,2022-01-01T00:00:00Z,42300,0.5130023640661938
BC,LG,2023-01-01T00:00:00Z,42100,0.5130641330166271
BC,LG,2024-01-01T00:00:00Z,42000,0.5119047619047619
BC,LG,2025-01-01T00:00:00Z,42000,0.5119047619047619
BC,LG,2026-01-01T00:00:00Z,42000,0.5119047619047619
BC,LG,2027-01-01T00:00:00Z,41900,0.513126491646778
BC,LG,2028-01-01T00:00:00Z,41700,0.513189448441247
BC,LG,2029-01-01T00:00:00Z,41500,0.5132530120481927
BC,LG,2030-01-01T00:00:00Z,41300,0.513317191283293
BC,LG,2031-01-01T00:00:00Z,41100,0.51338199513382
BC,LG,2032-01-01T00:00:00Z,40900,0.511002444987775
BC,LG,2033-01-01T00:00:00Z,40700,0.5110565110565111
BC,LG,2034-01-01T00:00:00Z,40600,0.5123152709359606
BC,LG,2035-01-01T00:00:00Z,40500,0.5135802469135803
BC,LG,2036-01-01T00:00:00Z,40600,0.5123152709359606
BC,LG,2037-01-01T00:00:00Z,40700,0.5135135135135135
BC,LG,2038-01-01T00:00:00Z,40900,0.5134474327628362
BC,LG,2039-01-01T00:00:00Z,41300,0.5108958837772397
BC,LG,2040-01-01T00:00:00Z,41700,0.513189448441247
BC,LG,2041-01-01T00:00:00Z,42100,0.5130641330166271
BC,LG,2042-01-01T00:00:00Z,42600,0.5140845070422535
BC,LG,2043-01-01T00:00:00Z,43200,0.5115740740740741
BC,M1,2022-01-01T00:00:00Z,43600,0.5114678899082569
BC,M1,2023-01-01T00:00:00Z,44500,0.5123595505617977
BC,M1,2024-01-01T00:00:00Z,45200,0.5132743362831859
BC,M1,2025-01-01T00:00:00Z,46000,0.5130434782608696
BC,M1,2026-01-01T00:00:00Z,46600,0.5128755364806867
BC,M1,2027-01-01T00:00:00Z,47200,0.5127118644067796
BC,M1,2028-01-01T00:00:00Z,47800,0.5125523012552301
BC,M1,2029-01-01T00:00:00Z,48300,0.5113871635610766
BC,M1,2030-01-01T00:00:00Z,48700,0.5133470225872689
BC,M1,2031-01-01T00:00:00Z,49100,0.5132382892057027
BC,M1,2032-01-01T00:00:00Z,49400,0.5121457489878543
BC,M1,2033-01-01T00:00:00Z,49800,0.5120481927710844
BC,M1,2034-01-01T00:00:00Z,50100,0.5129740518962076
BC,M1,2035-01-01T00:00:00Z,50600,0.5118577075098815
BC,M1,2036-01-01T00:00:00Z,51100,0.512720156555773
BC,M1,2037-01-01T00:00:00Z,51700,0.5125725338491296
BC,M1,2038-01-01T00:00:00Z,52300,0.5124282982791587
BC,M1,2039-01-01T00:00:00Z,53000,0.5132075471698113
BC,M1,2040-01-01T00:00:00Z,53800,0.5130111524163569
BC,M1,2041-01-01T00:00:00Z,54700,0.5118829981718465
BC,M1,2042-01-01T00:00:00Z,55500,0.5135135135135135
BC,M1,2043-01-01T00:00:00Z,56400,0.5124113475177305
BC,M2,2022-01-01T00:00:00Z,43300,0.5127020785219399
BC,M2,2023-01-01T00:00:00Z,43900,0.5125284738041003
BC,M2,2024-01-01T00:00:00Z,44400,0.5135135135135135
BC,M2,2025-01-01T00:00:00Z,45000,0.5111111111111111
BC,M2,2026-01-01T00:00:00Z,45500,0.512087912087912
BC,M2,2027-01-01T00:00:00Z,45900,0.5119825708061002
BC,M2,2028-01-01T00:00:00Z,46400,0.5129310344827587
BC,M2,2029-01-01T00:00:00Z,46800,0.5128205128205128
BC,M2,2030-01-01T00:00:00Z,47200,0.5127118644067796
BC,M2,2031-01-01T00:00:00Z,47600,0.5126050420168067
BC,M2,2032-01-01T00:00:00Z,48000,0.5125
BC,M2,2033-01-01T00:00:00Z,48400,0.512396694214876
BC,M2,2034-01-01T00:00:00Z,48800,0.5122950819672131
BC,M2,2035-01-01T00:00:00Z,49300,0.513184584178499
BC,M2,2036-01-01T00:00:00Z,49900,0.5130260521042084
BC,M2,2037-01-01T00:00:00Z,50500,0.5128712871287129
BC,M2,2038-01-01T00:00:00Z,51200,0.51171875
BC,M2,2039-01-01T00:00:00Z,51900,0.51252408477842
BC,M2,2040-01-01T00:00:00Z,52700,0.5123339658444023
BC,M2,2041-01-01T00:00:00Z,53600,0.5130597014925373
BC,M2,2042-01-01T00:00:00Z,54400,0.5128676470588235
BC,M2,2043-01-01T00:00:00Z,55300,0.5135623869801085
BC,M3,2022-01-01T00:00:00Z,43400,0.511520737327189
BC,M3,2023-01-01T00:00:00Z,44100,0.5124716553287982
BC,M3,2024-01-01T00:00:00Z,44800,0.5111607142857143
BC,M3,2025-01-01T00:00:00Z,45400,0.513215859030837
BC,M3,2026-01-01T00:00:00Z,46000,0.5130434782608696
BC,M3,2027-01-01T00:00:00Z,46600,0.5128755364806867
BC,M3,2028-01-01T00:00:00Z,47100,0.5116772823779193
BC,M3,2029-01-01T00:00:00Z,47700,0.5115303983228512
BC,M3,2030-01-01T00:00:00Z,48200,0.5124481327800829
BC,M3,2031-01-01T00:00:00Z,48700,0.5112936344969199
BC,M3,2032-01-01T00:00:00Z,49200,0.5121951219512195
BC,M3,2033-01-01T00:00:00Z,49700,0.5110663983903421
BC,M3,2034-01-01T00:00:00Z,50200,0.5119521912350598
BC,M3,2035-01-01T00:00:00Z,50800,0.5118110236220472
BC,M3,2036-01-01T00:00:00Z,51400,0.5116731517509727
