province,projection_scenario,timepoint,sex,age,delta_n,prop_migrants_birth,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
CA,M4,2023-01-01T00:00:00,F,1,3088.1410000000033,0.008409970043572993,0.006054358338857343,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,2,2833.6110000000044,0.007716805555555568,0.005555347500948922,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,3,2923.8289999999397,0.00796249727668829,0.005732221581703213,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,4,2918.6900000000023,0.007948502178649244,0.0057221464758375785,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,5,3215.2559999999357,0.008756143790849498,0.006303569679998645,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,6,3313.6290000000154,0.0090240441176471,0.006496431791174559,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,7,3011.970000000001,0.008202532679738566,0.0059050236650101595,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,8,2812.0720000000147,0.007658148148148188,0.005513119887552841,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,9,2612.191999999981,0.007113812636165525,0.005121251399432963,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,10,2612.2520000000077,0.007113976034858409,0.005121369030558126,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,11,2414.399000000034,0.006575160675381356,0.004733474513948366,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,12,2416.399999999994,0.006580610021786477,0.00473739751197074,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,13,2520.899999999994,0.0068651960784313565,0.004942271721539083,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,14,2725.152000000031,0.007421437908496816,0.0053427115976420565,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,15,3829.4560000000056,0.010428801742919405,0.007507720297385157,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,16,5537.15200000006,0.015079389978213672,0.010855690327844792,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,17,6244.791999999987,0.017006514161220006,0.012243031817403903,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,18,11454.864000000001,0.031195163398692813,0.02245747567189345,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,19,17563.419999999984,0.047830664488017385,0.03443341425662028,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,20,10872.03899999999,0.0296079493464052,0.021314836330346355,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,21,5582.584000000032,0.015203115468409672,0.010944760615778794,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,22,4093.5599999999977,0.011148039215686268,0.00802550114182378,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,23,6003.801999999996,0.01635022331154683,0.01177056640339555,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,24,6508.674999999959,0.017725149782134967,0.012760379387198328,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,25,6417.360000000044,0.017476470588235416,0.012581354617373296,0.0,0.0
CA,M4,2023-01-01T00:00:00,F,26,6223.749999999971,0.016949210239651336,0.01220177858182744,0.0,0.0
