province,projection_scenario,timepoint,sex,age,delta_n,prop_migrants_birth,prop_immigrants_timepoint,prop_emigrants_timepoint,prob_emigration
BC,M5,2023-01-01T00:00:00,F,1,471.86799999999494,0.010603775280898762,0.004223955429530656,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,2,403.18000000000393,0.009060224719101211,0.003609090572105345,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,3,502.567999999992,0.011293662921348136,0.004498768368078259,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,4,502.20000000000437,0.011285393258427064,0.0044954741934404045,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,5,502.0610000000015,0.011282269662921382,0.004494229926389626,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,6,601.880000000001,0.01352539325842699,0.0053877658453761286,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,7,601.658999999996,0.013520426966292045,0.005385787550281002,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,8,501.4459999999999,0.011268449438202245,0.004488724716057143,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,9,501.46399999999994,0.011268853932584269,0.004488885844164434,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,10,501.48799999999756,0.011269393258426911,0.004489100681640802,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,11,401.4939999999988,0.009022337078651658,0.0035939982393889697,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,12,501.7220000000016,0.011274651685393294,0.004491195347035631,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,13,502.0159999999996,0.011281258426966284,0.00449382710612138,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,14,702.2859999999964,0.01578170786516846,0.006286556330972609,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,15,1003.0960000000014,0.022541483146067447,0.008979275550663605,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,16,1704.3689999999951,0.038300426966292024,0.01525676394982027,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,17,1506.2640000000029,0.03384862921348321,0.013483414855651675,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,18,2008.0099999999984,0.045123820224719065,0.017974825040163643,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,19,3710.0440000000017,0.08337177528089891,0.03321068709384364,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,20,2612.1769999999997,0.05870060674157303,0.023383063106727345,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,21,1413.7249999999985,0.031769101123595475,0.012655046304503134,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,22,715.887999999999,0.01608737078651683,0.006408315470716113,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,23,917.3400000000038,0.020614382022471994,0.008211625441279574,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,24,1118.1790000000037,0.025127617977528174,0.010009448104633554,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,25,1418.2320000000036,0.03187038202247199,0.012695390992256736,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,26,1418.2320000000036,0.03187038202247199,0.012695390992256736,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,27,1619.3860000000059,0.03639069662921361,0.014496033397488343,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,28,1519.9100000000035,0.03415528089887648,0.013605567864101874,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,29,1620.975999999995,0.03642642696629202,0.01451026638029902,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,30,1522.301999999996,0.03420903370786508,0.01362697999924858,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,31,1424.1800000000003,0.03200404494382023,0.012748634880155119,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,32,1326.1360000000059,0.029800808988764176,0.011870987982859934,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,33,1228.1399999999994,0.027598651685393244,0.010993770760517418,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,34,1229.8499999999985,0.02763707865168536,0.01100907793071013,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,35,1131.6800000000003,0.025431011235955064,0.010130303136663866,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,36,1033.9300000000003,0.023234382022471918,0.009255287998454396,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,37,837.0360000000001,0.01880979775280899,0.00749277924528186,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,38,739.1879999999946,0.01661096629213471,0.006616886854043753,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,39,740.7039999999979,0.01664503370786512,0.006630457421302355,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,40,642.1800000000076,0.014431011235955226,0.005748513774479426,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,41,643.3550000000032,0.014457415730337151,0.005759031859260933,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,42,643.3160000000134,0.014456539325843,0.005758682748361893,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,43,644.0339999999924,0.0144726741573032,0.005765109969530342,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,44,643.775999999998,0.014466876404494337,0.005762800466659211,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,45,544.622000000003,0.012238696629213551,0.004875217336081028,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,46,546.8119999999981,0.012287910112359508,0.004894821255801482,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,47,449.87600000000384,0.010109573033707952,0.004027092688666259,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,48,452.2809999999954,0.010163617977527987,0.0040486211941126666,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,49,355.61099999999715,0.007991258426966227,0.0031832737423407188,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,50,260.14399999999296,0.005845932584269505,0.0023286950190727173,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,51,265.8130000000092,0.005973325842696836,0.002379441421308254,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,52,275.91999999999825,0.006200449438202208,0.0024699148535524845,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,53,282.20799999999144,0.006341752808988571,0.002526202272366348,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,54,288.57199999999284,0.0064847640449436595,0.0025831700098555175,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,55,193.01000000000204,0.004337303370786563,0.0017277408882435963,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,56,298.2639999999956,0.0067025617977527095,0.002669928544070644,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,57,311.18799999998737,0.00699298876404466,0.0027856185251060608,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,58,225.91799999999057,0.005076808988763833,0.002022318874618913,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,59,244.47400000000198,0.005493797752809033,0.002188424050113797,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,60,258.00399999998626,0.005797842696628905,0.0023095386774279695,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,61,365.50399999999354,0.00821357303370772,0.003271831540420546,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,62,382.27700000000186,0.008590494382022513,0.003421976081732001,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,63,298.7899999999936,0.006714382022471766,0.002674637065428152,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,64,313.7560000000012,0.007050696629213511,0.0028086061350798106,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,65,332.3680000000095,0.007468943820224933,0.002975212598019574,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,66,348.1479999999865,0.00782355056179745,0.0031164682387451524,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,67,268.1999999999971,0.006026966292134766,0.0024008087986473374,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,68,290.2800000000134,0.006523146067416032,0.002598459276925387,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,69,307.3599999999933,0.006906966292134681,0.002751351947622064,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,70,223.0280000000057,0.005011865168539454,0.0019964488618372032,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,71,241.31000000000495,0.005422696629213595,0.002160101309476537,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,72,165.39999999999418,0.003716853932584139,0.0014805882747809841,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,73,99.30400000000736,0.002231550561797918,0.0008889258648057251,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,74,118.87999999999374,0.002671460674157163,0.0010641616330469186,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,75,56.77499999999782,0.0012758426966291644,0.0005082249050827696,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,76,94.99599999999919,0.0021347415730336894,0.0008503625377938218,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,77,46.15200000000186,0.0010371235955056598,0.00041313246709611334,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,78,56.108000000000175,0.0012608539325842736,0.0005022542135514791,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,79,88.57800000000134,0.001990516853932614,0.0007929114159828091,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,80,6.042999999994208,0.00013579775280885863,5.4094286242401615e-05,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,81,8.800000000001091,0.00019775280898878857,7.877374134265258e-05,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,82,34.314000000002125,0.0007711011235955533,0.0003071638818672287,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,83,35.05899999999929,0.0007878426966291974,0.0003138327951967793,0.0,0.0
BC,M5,2023-01-01T00:00:00,F,84,46.92000000000189,0.0010543820224719527,0.0004200072663405624,0.0,0.0
