province,projection_scenario,timepoint,N,prop_male
BC,past,2000-01-01T00:00:00,3405.4520547945203,0.514420872251587
BC,past,2000-02-01T00:00:00,3397.1190208847966,0.514420872251587
BC,past,2000-03-01T00:00:00,3389.323602066023,0.514420872251587
BC,past,2000-04-01T00:00:00,3380.990568156299,0.514420872251587
BC,past,2000-05-01T00:00:00,3372.92634179205,0.514420872251587
BC,past,2000-06-01T00:00:00,3364.5933078823264,0.514420872251587
BC,past,2000-07-01T00:00:00,3356.5290815180774,0.514420872251587
BC,past,2000-08-01T00:00:00,3348.1960476083536,0.514420872251587
BC,past,2000-09-01T00:00:00,3339.86301369863,0.514420872251587
BC,past,2000-10-01T00:00:00,3331.7987873343814,0.514420872251587
BC,past,2000-11-01T00:00:00,3323.4657534246576,0.514420872251587
BC,past,2000-12-01T00:00:00,3315.4015270604086,0.514420872251587
BC,past,2001-01-01T00:00:00,3307.068493150685,0.513420817178646
BC,past,2001-02-01T00:00:00,3303.8504034528055,0.513420817178646
BC,past,2001-03-01T00:00:00,3300.9437417902045,0.513420817178646
BC,past,2001-04-01T00:00:00,3297.725652092325,0.513420817178646
BC,past,2001-05-01T00:00:00,3294.6113717395383,0.513420817178646
BC,past,2001-06-01T00:00:00,3291.393282041659,0.513420817178646
BC,past,2001-07-01T00:00:00,3288.279001688872,0.513420817178646
BC,past,2001-08-01T00:00:00,3285.0609119909927,0.513420817178646
BC,past,2001-09-01T00:00:00,3281.8428222931134,0.513420817178646
BC,past,2001-10-01T00:00:00,3278.7285419403265,0.513420817178646
BC,past,2001-11-01T00:00:00,3275.510452242447,0.513420817178646
BC,past,2001-12-01T00:00:00,3272.3961718896603,0.513420817178646
BC,past,2002-01-01T00:00:00,3269.178082191781,0.5152985543683218
BC,past,2002-02-01T00:00:00,3273.478176018015,0.5152985543683218
BC,past,2002-03-01T00:00:00,3277.3621317320326,0.5152985543683218
BC,past,2002-04-01T00:00:00,3281.662225558266,0.5152985543683218
BC,past,2002-05-01T00:00:00,3285.823606680428,0.5152985543683218
BC,past,2002-06-01T00:00:00,3290.123700506662,0.5152985543683218
BC,past,2002-07-01T00:00:00,3294.2850816288237,0.5152985543683218
BC,past,2002-08-01T00:00:00,3298.585175455057,0.5152985543683218
BC,past,2002-09-01T00:00:00,3302.885269281291,0.5152985543683218
BC,past,2002-10-01T00:00:00,3307.046650403453,0.5152985543683218
BC,past,2002-11-01T00:00:00,3311.346744229687,0.5152985543683218
