timepoint,province,sex,age,prob_death,se
1996-01-01 00:00:00,CA,M,46,0.00276,0.00022
1996-01-01 00:00:00,CA,F,46,0.00178,0.00018
1996-01-01 00:00:00,CA,M,47,0.00301,0.00023
1996-01-01 00:00:00,CA,F,47,0.00195,0.00019
1996-01-01 00:00:00,CA,M,48,0.0033,0.00024
1996-01-01 00:00:00,CA,F,48,0.00214,0.0002
1996-01-01 00:00:00,CA,M,49,0.00363,0.00026
1996-01-01 00:00:00,CA,F,49,0.00234,0.00021
1996-01-01 00:00:00,CA,M,50,0.00402,0.00029
1996-01-01 00:00:00,CA,F,50,0.00255,0.00023
1996-01-01 00:00:00,CA,M,51,0.00447,0.00032
1996-01-01 00:00:00,CA,F,51,0.00279,0.00025
1996-01-01 00:00:00,CA,M,52,0.00497,0.00034
1996-01-01 00:00:00,CA,F,52,0.00305,0.00027
1996-01-01 00:00:00,CA,M,53,0.00551,0.00036
1996-01-01 00:00:00,CA,F,53,0.00334,0.00028
1996-01-01 00:00:00,CA,M,54,0.00611,0.0004
1996-01-01 00:00:00,CA,F,54,0.00366,0.0003
1996-01-01 00:00:00,CA,M,55,0.00678,0.00042
1996-01-01 00:00:00,CA,F,55,0.004,0.00032
1996-01-01 00:00:00,CA,M,56,0.00752,0.00046
1996-01-01 00:00:00,CA,F,56,0.00439,0.00035
1996-01-01 00:00:00,CA,M,57,0.00833,0.00049
1996-01-01 00:00:00,CA,F,57,0.00481,0.00037
1996-01-01 00:00:00,CA,M,58,0.00922,0.00052
1996-01-01 00:00:00,CA,F,58,0.00528,0.00039
1996-01-01 00:00:00,CA,M,59,0.0102,0.00056
1996-01-01 00:00:00,CA,F,59,0.0058,0.00042
1996-01-01 00:00:00,CA,M,60,0.01128,0.00059
1996-01-01 00:00:00,CA,F,60,0.00637,0.00044
1996-01-01 00:00:00,CA,M,61,0.01248,0.00063
1996-01-01 00:00:00,CA,F,61,0.007,0.00047
1996-01-01 00:00:00,CA,M,62,0.01379,0.00067
1996-01-01 00:00:00,CA,F,62,0.0077,0.00049
1996-01-01 00:00:00,CA,M,63,0.01523,0.0007
1996-01-01 00:00:00,CA,F,63,0.00847,0.00051
1996-01-01 00:00:00,CA,M,64,0.01681,0.00073
1996-01-01 00:00:00,CA,F,64,0.00932,0.00054
1996-01-01 00:00:00,CA,M,65,0.01855,0.00077
1996-01-01 00:00:00,CA,F,65,0.01026,0.00056
1996-01-01 00:00:00,CA,M,66,0.02046,0.00083
1996-01-01 00:00:00,CA,F,66,0.01131,0.00059
1996-01-01 00:00:00,CA,M,67,0.02255,0.00089
1996-01-01 00:00:00,CA,F,67,0.01247,0.00063
1996-01-01 00:00:00,CA,M,68,0.02485,0.00095
1996-01-01 00:00:00,CA,F,68,0.01376,0.00067
1996-01-01 00:00:00,CA,M,69,0.02737,0.00102
1996-01-01 00:00:00,CA,F,69,0.01518,0.00071
1996-01-01 00:00:00,CA,M,70,0.03012,0.00108
1996-01-01 00:00:00,CA,F,70,0.01677,0.00074
1996-01-01 00:00:00,CA,M,71,0.03314,0.00116
1996-01-01 00:00:00,CA,F,71,0.01853,0.00079
1996-01-01 00:00:00,CA,M,72,0.03644,0.00125
1996-01-01 00:00:00,CA,F,72,0.02048,0.00084
1996-01-01 00:00:00,CA,M,73,0.04005,0.00134
1996-01-01 00:00:00,CA,F,73,0.02266,0.0009
1996-01-01 00:00:00,CA,M,74,0.044,0.00144
1996-01-01 00:00:00,CA,F,74,0.02507,0.00095
1996-01-01 00:00:00,CA,M,75,0.04831,0.00156
1996-01-01 00:00:00,CA,F,75,0.02776,0.00103
1996-01-01 00:00:00,CA,M,76,0.05302,0.00171
1996-01-01 00:00:00,CA,F,76,0.03076,0.00112
1996-01-01 00:00:00,CA,M,77,0.05816,0.00195
1996-01-01 00:00:00,CA,F,77,0.0341,0.00126
1996-01-01 00:00:00,CA,M,78,0.06376,0.00214
1996-01-01 00:00:00,CA,F,78,0.03782,0.00138
1996-01-01 00:00:00,CA,M,79,0.06987,0.00232
1996-01-01 00:00:00,CA,F,79,0.04197,0.00148
1996-01-01 00:00:00,CA,M,80,0.07653,0.00251
1996-01-01 00:00:00,CA,F,80,0.0466,0.00159
1996-01-01 00:00:00,CA,M,81,0.08378,0.00268
1996-01-01 00:00:00,CA,F,81,0.05176,0.00169
1996-01-01 00:00:00,CA,M,82,0.09167,0.00298
1996-01-01 00:00:00,CA,F,82,0.05754,0.00186
1996-01-01 00:00:00,CA,M,83,0.10026,0.00332
1996-01-01 00:00:00,CA,F,83,0.06399,0.00206
1996-01-01 00:00:00,CA,M,84,0.1096,0.00378
1996-01-01 00:00:00,CA,F,84,0.0712,0.0023
1996-01-01 00:00:00,CA,M,85,0.11975,0.00426
1996-01-01 00:00:00,CA,F,85,0.07926,0.00256
1996-01-01 00:00:00,CA,M,86,0.13077,0.00479
1996-01-01 00:00:00,CA,F,86,0.08829,0.00287
1996-01-01 00:00:00,CA,M,87,0.14274,0.00549
1996-01-01 00:00:00,CA,F,87,0.0984,0.00322
1996-01-01 00:00:00,CA,M,88,0.15572,0.00627
1996-01-01 00:00:00,CA,F,88,0.10973,0.00364
1996-01-01 00:00:00,CA,M,89,0.1698,0.00729
1996-01-01 00:00:00,CA,F,89,0.12242,0.00414
1996-01-01 00:00:00,CA,M,90,0.18507,0.00846
1996-01-01 00:00:00,CA,F,90,0.13666,0.00474
1996-01-01 00:00:00,CA,M,91,0.20128,0.0099
1996-01-01 00:00:00,CA,F,91,0.15224,0.00547
1996-01-01 00:00:00,CA,M,92,0.2181,0.01164
1996-01-01 00:00:00,CA,F,92,0.16882,0.00634
1996-01-01 00:00:00,CA,M,93,0.23544,0.01378
1996-01-01 00:00:00,CA,F,93,0.18633,0.00738
1996-01-01 00:00:00,CA,M,94,0.25322,0.01639
1996-01-01 00:00:00,CA,F,94,0.2047,0.00865
1996-01-01 00:00:00,CA,M,95,0.26462,0.0195
1996-01-01 00:00:00,CA,F,95,0.21979,0.01012
1996-01-01 00:00:00,CA,M,96,0.28192,0.02349
1996-01-01 00:00:00,CA,F,96,0.23865,0.01197
1996-01-01 00:00:00,CA,M,97,0.29951,0.02849
1996-01-01 00:00:00,CA,F,97,0.2582,0.01425
1996-01-01 00:00:00,CA,M,98,0.31729,0.03479
1996-01-01 00:00:00,CA,F,98,0.27831,0.01707
1996-01-01 00:00:00,CA,M,99,0.33516,0.04282
1996-01-01 00:00:00,CA,F,99,0.29884,0.02057
1996-01-01 00:00:00,CA,M,100,0.35302,0.05377
1996-01-01 00:00:00,CA,F,100,0.31964,0.02531
1996-01-01 00:00:00,CA,M,101,0.37077,0.06856
1996-01-01 00:00:00,CA,F,101,0.34054,0.03239
1996-01-01 00:00:00,CA,M,102,0.3883,0.07671
1996-01-01 00:00:00,CA,F,102,0.36139,0.04086
1996-01-01 00:00:00,CA,M,103,0.40553,0.11098
1996-01-01 00:00:00,CA,F,103,0.38202,0.05255
1996-01-01 00:00:00,CA,M,104,0.42236,0.12977
1996-01-01 00:00:00,CA,F,104,0.40228,0.06924
1996-01-01 00:00:00,CA,M,105,0.43872,0.15809
1996-01-01 00:00:00,CA,F,105,0.42201,0.08634
1996-01-01 00:00:00,CA,M,106,0.45453,0.25896
1996-01-01 00:00:00,CA,F,106,0.4411,0.10897
1996-01-01 00:00:00,CA,M,107,0.46974,0.47402
1996-01-01 00:00:00,CA,F,107,0.45943,0.21246
1996-01-01 00:00:00,CA,M,108,0.4843,0.48201
