timepoint,age,sex,province,prob
2000-01-01 00:00:00,4,F,BC,0.6242941617691482
2000-01-01 00:00:00,4,M,BC,0.6995365117216272
2000-01-01 00:00:00,5,F,BC,0.7953491040159585
2000-01-01 00:00:00,5,M,BC,0.865902470566897
2000-01-01 00:00:00,6,F,BC,0.8849397212050046
2000-01-01 00:00:00,6,M,BC,0.9347031092310752
2000-01-01 00:00:00,7,F,BC,0.9332215004263896
2000-01-01 00:00:00,7,M,BC,0.9620152159917492
2000-01-01 00:00:00,8,F,BC,0.9594931820434311
2000-01-01 00:00:00,8,M,BC,0.97127187980761
2000-01-01 00:00:00,9,F,BC,0.9735563617346924
2000-01-01 00:00:00,9,M,BC,0.9728295670675448
2000-01-01 00:00:00,10,F,BC,0.98063371929037
2000-01-01 00:00:00,10,M,BC,0.9714453020712652
2000-01-01 00:00:00,11,F,BC,0.9836236255674708
2000-01-01 00:00:00,11,M,BC,0.9693360655636012
2000-01-01 00:00:00,12,F,BC,0.984188941269211
2000-01-01 00:00:00,12,M,BC,0.9675089454111956
2000-01-01 00:00:00,13,F,BC,0.9833085303529432
2000-01-01 00:00:00,13,M,BC,0.9663714730059308
2000-01-01 00:00:00,14,F,BC,0.981569256582079
2000-01-01 00:00:00,14,M,BC,0.966025534515076
2000-01-01 00:00:00,15,F,BC,0.9793271587455528
2000-01-01 00:00:00,15,M,BC,0.966415403747196
2000-01-01 00:00:00,16,F,BC,0.9768000406847128
2000-01-01 00:00:00,16,M,BC,0.9674057503281502
2000-01-01 00:00:00,17,F,BC,0.974122743958622
2000-01-01 00:00:00,17,M,BC,0.9688249039599408
2000-01-01 00:00:00,18,F,BC,0.971381335591982
2000-01-01 00:00:00,18,M,BC,0.9704904028493624
2000-01-01 00:00:00,19,F,BC,0.9686348618930783
2000-01-01 00:00:00,19,M,BC,0.972225247802539
2000-01-01 00:00:00,20,F,BC,0.9659293673188916
2000-01-01 00:00:00,20,M,BC,0.9738690317977912
2000-01-01 00:00:00,21,F,BC,0.9633067664703496
2000-01-01 00:00:00,21,M,BC,0.9752859198733036
2000-01-01 00:00:00,22,F,BC,0.9608100223481356
2000-01-01 00:00:00,22,M,BC,0.9763702868943648
2000-01-01 00:00:00,23,F,BC,0.958485490580385
2000-01-01 00:00:00,23,M,BC,0.9770502110278988
2000-01-01 00:00:00,24,F,BC,0.9563830078359008
2000-01-01 00:00:00,24,M,BC,0.9772887490340838
2000-01-01 00:00:00,25,F,BC,0.9545542016158312
2000-01-01 00:00:00,25,M,BC,0.9770828755214392
2000-01-01 00:00:00,26,F,BC,0.953049494257054
2000-01-01 00:00:00,26,M,BC,0.9764600831707088
2000-01-01 00:00:00,27,F,BC,0.951914307253045
2000-01-01 00:00:00,27,M,BC,0.975472855042784
2000-01-01 00:00:00,28,F,BC,0.9511849998778028
2000-01-01 00:00:00,28,M,BC,0.974191471637486
2000-01-01 00:00:00,29,F,BC,0.950885069521241
2000-01-01 00:00:00,29,M,BC,0.972695841498311
